case_id,client_id,case_type,date_initiated,current_stage,days_in_progress,estimated_completion_days,completion_percentage,outstanding_items_count,overdue_items_count,advisor_id,priority_level,last_update,client_engagement_score
CASE_00023,CLI_0026,Retirement Planning,2025-11-09T16:34:15.608516,Recommendation,84,30,87,4,2,ADV_04,Medium,2026-01-19T16:34:15.608542,96.7
CASE_00024,CLI_0050,Pension Consolidation,2025-11-16T16:34:15.608553,Implementation,77,40,37,7,1,ADV_10,Medium,2026-01-28T16:34:15.608580,77.8
CASE_00025,CLI_0010,Pension Consolidation,2025-09-11T16:34:15.608591,Implementation,143,37,22,7,2,ADV_09,Low,2026-01-20T16:34:15.608618,79.4
CASE_00026,CLI_0042,Protection Review,2025-11-22T16:34:15.608629,Recommendation,71,81,64,3,2,ADV_10,High,2026-01-28T16:34:15.608687,81.0
CASE_00027,CLI_0025,Protection Review,2025-11-15T16:34:15.608704,Recommendation,78,50,53,0,1,ADV_02,Medium,2026-01-30T16:34:15.608735,47.5
CASE_00028,CLI_0035,Investment Planning,2025-10-02T16:34:15.608746,Fact-Find,122,85,84,4,0,ADV_04,High,2026-01-19T16:34:15.608773,56.7
CASE_00029,CLI_0005,Pension Consolidation,2025-12-10T16:34:15.608784,Recommendation,53,75,36,4,2,ADV_05,Medium,2026-01-30T16:34:15.608810,62.1
CASE_00030,CLI_0034,General Review,2025-08-19T16:34:15.608821,Monitoring,166,26,88,0,0,ADV_01,Low,2026-01-29T16:34:15.608848,61.7
CASE_00031,CLI_0036,Retirement Planning,2025-12-24T16:34:15.608859,Recommendation,39,19,46,7,1,ADV_04,Critical,2026-01-30T16:34:15.608885,17.2
CASE_00032,CLI_0015,Investment Planning,2025-11-28T16:34:15.608896,Monitoring,65,16,86,5,1,ADV_03,High,2026-01-21T16:34:15.608923,73.4
CASE_00033,CLI_0005,Pension Consolidation,2025-12-24T16:34:15.608934,Initial Meeting,39,46,32,7,2,ADV_03,Critical,2026-01-22T16:34:15.608960,78.7
CASE_00034,CLI_0019,Pension Consolidation,2025-10-25T16:34:15.608971,Monitoring,99,57,81,1,2,ADV_04,Low,2026-01-20T16:34:15.608998,29.9
CASE_00035,CLI_0036,Retirement Planning,2025-08-09T16:34:15.609008,Analysis,176,25,30,5,2,ADV_09,Low,2026-01-23T16:34:15.609035,74.7
CASE_00036,CLI_0023,Pension Consolidation,2025-09-18T16:34:15.609046,Monitoring,136,33,30,7,2,ADV_05,Critical,2026-01-31T16:34:15.609073,62.7
CASE_00037,CLI_0013,General Review,2025-10-09T16:34:15.609084,Analysis,115,60,47,4,1,ADV_02,High,2026-01-21T16:34:15.609110,58.0
CASE_00038,CLI_0014,General Review,2025-10-04T16:34:15.609121,Recommendation,120,36,48,6,1,ADV_03,Medium,2026-01-29T16:34:15.609148,53.8
CASE_00039,CLI_0038,Protection Review,2025-10-12T16:34:15.609159,Analysis,112,28,78,2,1,ADV_08,Critical,2026-02-01T16:34:15.609186,69.2
CASE_00040,CLI_0005,Pension Consolidation,2025-10-26T16:34:15.609197,Fact-Find,98,27,69,1,0,ADV_07,High,2026-01-26T16:34:15.609223,68.1
CASE_00041,CLI_0014,General Review,2025-09-24T16:34:15.609234,Initial Meeting,130,17,67,7,0,ADV_04,Medium,2026-01-20T16:34:15.609261,96.2
CASE_00042,CLI_0048,Investment Planning,2025-12-24T16:34:15.609272,Initial Meeting,39,49,48,5,1,ADV_04,Medium,2026-01-20T16:34:15.609298,71.1
CASE_00043,CLI_0013,General Review,2025-12-13T16:34:15.609309,Monitoring,50,70,88,4,1,ADV_06,High,2026-01-21T16:34:15.609335,64.6
CASE_00044,CLI_0031,Investment Planning,2025-08-07T16:34:15.609346,Analysis,178,85,81,7,1,ADV_02,Critical,2026-01-27T16:34:15.609373,60.7
CASE_00045,CLI_0017,General Review,2025-12-27T16:34:15.609384,Analysis,36,81,56,5,2,ADV_01,Low,2026-01-23T16:34:15.609410,51.7
CASE_00046,CLI_0017,General Review,2025-12-26T16:34:15.609421,Analysis,37,58,46,3,1,ADV_06,Critical,2026-01-31T16:34:15.609448,72.5
CASE_00047,CLI_0005,Pension Consolidation,2025-10-13T16:34:15.609459,Analysis,111,83,26,1,1,ADV_06,Critical,2026-02-01T16:34:15.609485,104.6
CASE_00048,CLI_0037,Investment Planning,2025-08-23T16:34:15.609496,Implementation,162,73,89,1,1,ADV_04,Critical,2026-01-20T16:34:15.609523,60.6
CASE_00049,CLI_0025,Protection Review,2025-08-19T16:34:15.609534,Analysis,166,61,62,2,0,ADV_09,Low,2026-01-27T16:34:15.609560,86.9
CASE_00050,CLI_0001,General Review,2025-10-05T16:34:15.609571,Recommendation,119,66,77,0,2,ADV_06,Critical,2026-01-23T16:34:15.609598,63.2
CASE_00051,CLI_0049,General Review,2025-11-22T16:34:15.609609,Analysis,71,52,44,5,0,ADV_08,Critical,2026-01-21T16:34:15.609660,58.0
CASE_00052,CLI_0042,Protection Review,2025-09-29T16:34:15.609680,Recommendation,125,61,58,7,1,ADV_08,Low,2026-01-21T16:34:15.609724,84.5
CASE_00053,CLI_0008,Protection Review,2025-12-08T16:34:15.609751,Recommendation,55,56,70,5,2,ADV_02,Low,2026-01-29T16:34:15.609794,59.9
CASE_00054,CLI_0007,Pension Consolidation,2025-10-15T16:34:15.609811,Analysis,109,23,90,4,0,ADV_05,High,2026-01-26T16:34:15.609856,72.6
CASE_00055,CLI_0027,Investment Planning,2025-09-22T16:34:15.609880,Initial Meeting,132,40,73,0,2,ADV_03,Medium,2026-01-30T16:34:15.609911,80.3
CASE_00056,CLI_0017,General Review,2025-08-18T16:34:15.609922,Initial Meeting,167,34,72,6,1,ADV_09,Medium,2026-01-24T16:34:15.609949,34.7
CASE_00057,CLI_0020,Protection Review,2025-09-12T16:34:15.609960,Initial Meeting,142,20,48,7,0,ADV_03,Medium,2026-01-19T16:34:15.609987,105.3
CASE_00058,CLI_0005,Pension Consolidation,2025-11-08T16:34:15.609999,Fact-Find,85,45,68,4,1,ADV_09,Low,2026-01-21T16:34:15.610026,125.8
CASE_00059,CLI_0021,Investment Planning,2025-11-06T16:34:15.610038,Recommendation,87,47,24,1,2,ADV_09,Low,2026-01-22T16:34:15.610064,104.7
CASE_00060,CLI_0048,Investment Planning,2025-09-13T16:34:15.610075,Monitoring,141,19,53,6,1,ADV_07,Medium,2026-01-29T16:34:15.610102,83.4
CASE_00061,CLI_0013,General Review,2025-11-17T16:34:15.610113,Recommendation,76,45,45,1,0,ADV_04,Low,2026-01-29T16:34:15.610139,63.3
CASE_00062,CLI_0016,Investment Planning,2025-10-04T16:34:15.610150,Recommendation,120,73,29,0,2,ADV_05,High,2026-02-01T16:34:15.610176,82.0
CASE_00063,CLI_0033,Protection Review,2025-12-03T16:34:15.610187,Fact-Find,60,34,55,0,1,ADV_04,Low,2026-01-24T16:34:15.610214,89.9
CASE_00064,CLI_0005,Pension Consolidation,2025-12-11T16:34:15.610225,Monitoring,52,85,67,5,0,ADV_07,Critical,2026-01-27T16:34:15.610252,89.3
CASE_00065,CLI_0043,Protection Review,2025-08-23T16:34:15.610262,Analysis,162,78,28,1,0,ADV_10,High,2026-01-30T16:34:15.610289,86.5
CASE_00066,CLI_0013,General Review,2025-11-16T16:34:15.610300,Analysis,77,67,90,3,0,ADV_08,Critical,2026-01-29T16:34:15.610326,39.8
CASE_00067,CLI_0024,Protection Review,2025-10-26T16:34:15.610340,Implementation,98,19,88,0,2,ADV_06,Medium,2026-01-22T16:34:15.610366,104.5
CASE_00068,CLI_0048,Investment Planning,2025-09-15T16:34:15.610377,Recommendation,139,50,57,6,2,ADV_02,Low,2026-01-27T16:34:15.610404,72.4
CASE_00069,CLI_0003,Protection Review,2025-09-24T16:34:15.610414,Recommendation,130,44,62,4,2,ADV_02,High,2026-02-01T16:34:15.610441,46.5
CASE_00070,CLI_0010,Pension Consolidation,2025-12-05T16:34:15.610451,Fact-Find,58,75,32,3,2,ADV_07,Critical,2026-01-22T16:34:15.610478,79.4
CASE_00071,CLI_0026,Retirement Planning,2025-10-03T16:34:15.610488,Implementation,121,89,63,3,1,ADV_05,Low,2026-01-24T16:34:15.610515,61.1
CASE_00072,CLI_0011,Investment Planning,2025-12-01T16:34:15.610526,Analysis,62,88,92,5,2,ADV_09,High,2026-01-30T16:34:15.610552,58.7
CASE_00073,CLI_0029,Investment Planning,2025-09-06T16:34:15.610563,Recommendation,148,57,79,6,0,ADV_07,High,2026-01-27T16:34:15.610589,95.4
CASE_00074,CLI_0019,Pension Consolidation,2025-11-17T16:34:15.610600,Initial Meeting,76,80,37,1,1,ADV_02,Low,2026-01-20T16:34:15.610626,66.2
CASE_00075,CLI_0033,Protection Review,2025-10-01T16:34:15.610669,Fact-Find,123,18,69,4,1,ADV_04,Critical,2026-02-01T16:34:15.610699,76.8
CASE_00076,CLI_0027,Investment Planning,2025-12-01T16:34:15.610711,Fact-Find,62,53,84,2,2,ADV_02,Low,2026-01-22T16:34:15.610740,108.3
CASE_00077,CLI_0002,Pension Consolidation,2025-10-30T16:34:15.610762,Recommendation,94,29,41,1,1,ADV_01,Medium,2026-01-23T16:34:15.610808,35.8
CASE_00078,CLI_0043,Protection Review,2025-12-16T16:34:15.610827,Fact-Find,47,73,46,5,1,ADV_08,Critical,2026-01-20T16:34:15.610862,50.1
CASE_00079,CLI_0010,Pension Consolidation,2025-10-29T16:34:15.610876,Monitoring,95,31,49,1,0,ADV_10,Critical,2026-01-22T16:34:15.610904,64.9
CASE_00080,CLI_0039,Investment Planning,2025-12-10T16:34:15.610916,Implementation,53,47,80,0,0,ADV_02,Critical,2026-01-30T16:34:15.610943,68.9
CASE_00081,CLI_0039,Investment Planning,2025-12-26T16:34:15.610954,Initial Meeting,37,58,47,6,2,ADV_01,Medium,2026-02-01T16:34:15.610980,49.2
CASE_00082,CLI_0026,Retirement Planning,2025-09-04T16:34:15.610991,Recommendation,150,34,66,2,0,ADV_05,High,2026-01-30T16:34:15.611018,90.4
CASE_00083,CLI_0019,Pension Consolidation,2025-08-14T16:34:15.611029,Monitoring,171,81,64,7,2,ADV_05,Medium,2026-01-31T16:34:15.611055,45.1
CASE_00084,CLI_0003,Protection Review,2025-12-31T16:34:15.611066,Monitoring,32,55,59,1,2,ADV_08,Critical,2026-02-01T16:34:15.611093,89.2
CASE_00085,CLI_0040,Investment Planning,2025-12-28T16:34:15.611104,Fact-Find,35,34,54,0,0,ADV_07,Low,2026-01-28T16:34:15.611131,91.9
CASE_00086,CLI_0012,Protection Review,2025-12-24T16:34:15.611142,Implementation,39,37,66,1,0,ADV_07,Medium,2026-01-30T16:34:15.611169,131.9
CASE_00087,CLI_0002,Pension Consolidation,2025-12-28T16:34:15.611183,Implementation,35,86,93,3,2,ADV_03,Low,2026-01-25T16:34:15.611210,91.5
CASE_00088,CLI_0045,General Review,2025-11-20T16:34:15.611221,Analysis,73,46,79,5,0,ADV_03,High,2026-01-27T16:34:15.611248,52.9
CASE_00089,CLI_0045,General Review,2025-10-12T16:34:15.611258,Implementation,112,39,40,3,1,ADV_07,Critical,2026-01-31T16:34:15.611286,93.8
CASE_00090,CLI_0004,Pension Consolidation,2025-08-14T16:34:15.611300,Recommendation,171,26,22,1,1,ADV_02,Critical,2026-01-19T16:34:15.611345,51.3
CASE_00091,CLI_0047,Protection Review,2025-08-25T16:34:15.611365,Initial Meeting,160,37,54,5,2,ADV_02,Medium,2026-01-28T16:34:15.611412,72.9
CASE_00092,CLI_0004,Pension Consolidation,2025-11-13T16:34:15.611427,Analysis,80,14,52,6,0,ADV_04,Critical,2026-01-25T16:34:15.611454,67.9
CASE_00093,CLI_0011,Investment Planning,2025-08-14T16:34:15.611465,Monitoring,171,59,95,0,1,ADV_10,Critical,2026-01-20T16:34:15.611492,62.6
CASE_00094,CLI_0017,General Review,2025-08-28T16:34:15.611504,Fact-Find,157,26,69,4,1,ADV_05,High,2026-01-29T16:34:15.611531,60.5
CASE_00095,CLI_0007,Pension Consolidation,2025-09-25T16:34:15.611542,Initial Meeting,129,24,63,5,0,ADV_10,Medium,2026-01-28T16:34:15.611569,55.8
CASE_00096,CLI_0024,Protection Review,2025-11-07T16:34:15.611580,Fact-Find,86,19,35,3,2,ADV_03,High,2026-01-21T16:34:15.611607,59.9
CASE_00097,CLI_0037,Investment Planning,2025-08-22T16:34:15.611620,Analysis,163,31,99,6,2,ADV_05,Low,2026-01-30T16:34:15.611692,47.4
CASE_00098,CLI_0042,Protection Review,2025-10-31T16:34:15.611712,Monitoring,93,84,95,4,1,ADV_04,Medium,2026-01-30T16:34:15.611760,87.7
CASE_00099,CLI_0044,Retirement Planning,2025-09-23T16:34:15.611774,Recommendation,131,87,81,0,0,ADV_09,Low,2026-01-28T16:34:15.611801,65.1
CASE_00100,CLI_0032,Investment Planning,2025-08-22T16:34:15.611812,Implementation,163,33,58,2,1,ADV_01,High,2026-01-31T16:34:15.611839,76.7
CASE_00101,CLI_0019,Pension Consolidation,2025-10-24T16:34:15.611850,Fact-Find,100,53,33,6,0,ADV_04,Low,2026-01-28T16:34:15.611882,101.5
CASE_00102,CLI_0045,General Review,2025-09-04T16:34:15.611895,Recommendation,150,63,39,0,0,ADV_08,Critical,2026-02-01T16:34:15.611923,52.7
CASE_00103,CLI_0017,General Review,2025-08-19T16:34:15.611934,Recommendation,166,58,85,7,0,ADV_09,Medium,2026-01-29T16:34:15.611961,85.1
CASE_00104,CLI_0005,Pension Consolidation,2025-11-01T16:34:15.611974,Analysis,92,49,84,5,0,ADV_08,Critical,2026-01-31T16:34:15.612001,72.6
CASE_00105,CLI_0014,General Review,2025-12-09T16:34:15.612012,Fact-Find,54,20,32,3,1,ADV_09,Critical,2026-01-25T16:34:15.612039,59.4
CASE_00106,CLI_0027,Investment Planning,2025-08-28T16:34:15.612049,Fact-Find,157,50,90,3,0,ADV_03,Medium,2026-01-29T16:34:15.612076,84.1
CASE_00107,CLI_0042,Protection Review,2025-10-16T16:34:15.612088,Implementation,108,87,35,6,2,ADV_04,High,2026-01-31T16:34:15.612115,32.2
CASE_00108,CLI_0001,General Review,2025-08-26T16:34:15.612171,Recommendation,159,78,24,1,1,ADV_05,Critical,2026-01-19T16:34:15.612205,97.7
CASE_00109,CLI_0013,General Review,2025-10-30T16:34:15.612218,Initial Meeting,94,77,51,7,2,ADV_10,Medium,2026-01-29T16:34:15.612245,80.7
CASE_00110,CLI_0001,General Review,2025-09-08T16:34:15.612257,Initial Meeting,146,68,76,1,2,ADV_09,Medium,2026-01-23T16:34:15.612284,89.1
CASE_00111,CLI_0012,Protection Review,2025-10-24T16:34:15.612295,Monitoring,100,60,98,5,0,ADV_02,Critical,2026-01-20T16:34:15.612322,63.6
CASE_00112,CLI_0033,Protection Review,2025-12-28T16:34:15.612333,Recommendation,35,50,33,4,2,ADV_08,High,2026-01-21T16:34:15.612360,47.9
CASE_00113,CLI_0018,General Review,2025-11-07T16:34:15.612371,Analysis,86,51,51,5,1,ADV_07,Low,2026-01-21T16:34:15.612397,98.4
CASE_00114,CLI_0002,Pension Consolidation,2025-09-21T16:34:15.612408,Fact-Find,133,82,67,7,2,ADV_10,High,2026-01-29T16:34:15.612452,53.6
CASE_00115,CLI_0039,Investment Planning,2025-11-01T16:34:15.612473,Implementation,92,25,97,7,1,ADV_02,Critical,2026-01-29T16:34:15.612519,75.9
CASE_00116,CLI_0009,Retirement Planning,2025-12-08T16:34:15.612532,Recommendation,55,49,28,6,1,ADV_03,Critical,2026-01-28T16:34:15.612559,59.2
CASE_00117,CLI_0032,Investment Planning,2025-11-07T16:34:15.612575,Monitoring,86,29,81,3,2,ADV_01,Critical,2026-01-27T16:34:15.612602,66.4
CASE_00118,CLI_0034,General Review,2025-10-17T16:34:15.612613,Monitoring,107,30,34,1,0,ADV_05,Low,2026-01-25T16:34:15.612675,102.5
CASE_00119,CLI_0033,Protection Review,2025-10-04T16:34:15.612691,Analysis,120,29,47,1,2,ADV_01,Low,2026-01-29T16:34:15.612718,57.0
CASE_00120,CLI_0030,Investment Planning,2025-11-19T16:34:15.612730,Implementation,74,25,51,7,0,ADV_08,Critical,2026-01-25T16:34:15.612771,63.5
CASE_00121,CLI_0004,Pension Consolidation,2025-11-30T16:34:15.612788,Recommendation,63,63,21,0,2,ADV_10,High,2026-01-23T16:34:15.612836,56.3
CASE_00122,CLI_0020,Protection Review,2025-10-20T16:34:15.612849,Fact-Find,104,87,80,6,0,ADV_09,Critical,2026-01-30T16:34:15.612876,59.8
CASE_00123,CLI_0045,General Review,2025-10-13T16:34:15.612889,Initial Meeting,111,40,25,1,1,ADV_08,Medium,2026-01-21T16:34:15.612916,104.2
CASE_00124,CLI_0039,Investment Planning,2025-11-03T16:34:15.612926,Monitoring,90,82,94,1,2,ADV_02,High,2026-01-26T16:34:15.612953,80.4
CASE_00125,CLI_0041,Investment Planning,2025-08-08T16:34:15.612964,Fact-Find,177,48,53,4,1,ADV_07,High,2026-01-29T16:34:15.612991,106.1
CASE_00126,CLI_0039,Investment Planning,2025-08-11T16:34:15.613002,Analysis,174,61,54,7,2,ADV_07,Low,2026-01-30T16:34:15.613029,87.4
CASE_00127,CLI_0030,Investment Planning,2025-08-11T16:34:15.613042,Fact-Find,174,42,89,3,0,ADV_01,Medium,2026-01-25T16:34:15.613069,59.2
CASE_00128,CLI_0040,Investment Planning,2025-11-25T16:34:15.613080,Recommendation,68,50,33,2,2,ADV_03,High,2026-01-19T16:34:15.613112,104.8
CASE_00129,CLI_0009,Retirement Planning,2025-09-23T16:34:15.613132,Initial Meeting,131,57,87,7,0,ADV_06,Critical,2026-02-01T16:34:15.613167,65.8
CASE_00130,CLI_0011,Investment Planning,2025-12-03T16:34:15.613179,Analysis,60,69,57,4,0,ADV_10,Medium,2026-01-22T16:34:15.613206,80.8
CASE_00131,CLI_0008,Protection Review,2025-12-26T16:34:15.613217,Recommendation,37,85,53,2,2,ADV_09,Low,2026-01-26T16:34:15.613243,43.1
CASE_00132,CLI_0032,Investment Planning,2025-10-31T16:34:15.613254,Fact-Find,93,39,88,0,1,ADV_08,Medium,2026-01-20T16:34:15.613281,77.2
CASE_00133,CLI_0017,General Review,2025-09-17T16:34:15.613292,Initial Meeting,137,80,65,1,2,ADV_08,High,2026-01-22T16:34:15.613319,64.0
CASE_00134,CLI_0039,Investment Planning,2025-11-13T16:34:15.613330,Recommendation,80,64,24,6,0,ADV_04,Critical,2026-01-29T16:34:15.613376,52.7
CASE_00135,CLI_0034,General Review,2025-09-03T16:34:15.613396,Implementation,151,67,53,2,0,ADV_05,Low,2026-01-31T16:34:15.613437,71.8
CASE_00136,CLI_0008,Protection Review,2025-08-15T16:34:15.613449,Monitoring,170,26,39,1,2,ADV_07,High,2026-01-20T16:34:15.613476,60.2
CASE_00137,CLI_0037,Investment Planning,2025-09-03T16:34:15.613489,Monitoring,151,19,33,3,1,ADV_03,High,2026-01-26T16:34:15.613516,64.6
CASE_00138,CLI_0003,Protection Review,2026-01-01T16:34:15.613527,Fact-Find,31,38,79,6,2,ADV_06,Medium,2026-01-27T16:34:15.613554,42.2
CASE_00139,CLI_0014,General Review,2025-10-14T16:34:15.613565,Fact-Find,110,33,81,0,2,ADV_04,Critical,2026-01-21T16:34:15.613598,78.3
CASE_00140,CLI_0033,Protection Review,2025-10-21T16:34:15.613617,Initial Meeting,103,62,42,1,0,ADV_07,Low,2026-01-19T16:34:15.613700,69.8
CASE_00141,CLI_0020,Protection Review,2025-10-09T16:34:15.613723,Recommendation,115,36,54,2,1,ADV_01,Medium,2026-02-01T16:34:15.613779,35.2
CASE_00142,CLI_0015,Investment Planning,2025-09-02T16:34:15.613799,Initial Meeting,152,79,58,0,1,ADV_06,High,2026-01-28T16:34:15.613827,79.1
CASE_00143,CLI_0040,Investment Planning,2025-12-07T16:34:15.613838,Fact-Find,56,52,75,2,2,ADV_08,Medium,2026-01-19T16:34:15.613866,42.6
CASE_00144,CLI_0041,Investment Planning,2025-09-06T16:34:15.613877,Recommendation,148,54,23,0,1,ADV_08,Critical,2026-01-19T16:34:15.613905,64.0
CASE_00145,CLI_0031,Investment Planning,2025-10-07T16:34:15.613916,Fact-Find,117,67,27,6,0,ADV_04,Medium,2026-01-21T16:34:15.613943,68.6
CASE_00146,CLI_0039,Investment Planning,2025-12-19T16:34:15.613954,Implementation,44,51,67,3,0,ADV_06,Critical,2026-01-30T16:34:15.613981,94.3
CASE_00147,CLI_0017,General Review,2025-09-26T16:34:15.613995,Recommendation,128,25,67,5,2,ADV_08,High,2026-02-01T16:34:15.614025,33.8
CASE_00148,CLI_0008,Protection Review,2025-12-09T16:34:15.614044,Fact-Find,54,86,92,4,1,ADV_03,Low,2026-01-31T16:34:15.614091,51.0
CASE_00149,CLI_0007,Pension Consolidation,2025-09-03T16:34:15.614109,Analysis,151,51,59,1,2,ADV_07,Medium,2026-01-21T16:34:15.614156,79.2
CASE_00150,CLI_0039,Investment Planning,2025-11-29T16:34:15.614176,Analysis,64,60,55,7,2,ADV_09,Low,2026-01-20T16:34:15.614227,64.1
