item_id,client_id,item_type,case_type,date_sent,current_state,days_outstanding,completion_deadline,days_until_deadline,completion_percentage,sent_via,opened,last_interaction,rejection_reason,resubmission_count
POST_00020,CLI_0003,Terms & Conditions,Protection Review,2026-01-15T16:34:15.557001,Sent,17,2026-01-29T16:34:15.557001,0,0,Email,True,2026-02-01T16:34:15.557071,,0
POST_00021,CLI_0012,Investment Confirmation,Protection Review,2026-01-11T16:34:15.557103,Partially Completed,21,2026-01-25T16:34:15.557103,0,94,Portal,False,2026-01-26T16:34:15.557189,,0
POST_00022,CLI_0020,Investment Confirmation,Protection Review,2026-01-09T16:34:15.557221,Resubmitted,23,2026-01-23T16:34:15.557221,0,0,Email,True,2026-02-01T16:34:15.557294,,1
POST_00023,CLI_0037,Anti-Money Laundering Document,Investment Planning,2026-01-13T16:34:15.557333,Partially Completed,19,2026-01-27T16:34:15.557333,0,17,SMS,False,2026-01-29T16:34:15.557413,,0
POST_00024,CLI_0020,AML Verification,Protection Review,2026-01-13T16:34:15.557444,Partially Completed,19,2026-01-27T16:34:15.557444,0,6,Email,False,2026-01-29T16:34:15.557528,,0
POST_00025,CLI_0034,Risk Questionnaire,General Review,2026-01-27T16:34:15.557560,Pending,5,2026-02-10T16:34:15.557560,8,0,Portal,True,2026-01-26T16:34:15.557668,,0
POST_00026,CLI_0005,Risk Questionnaire,Pension Consolidation,2026-01-22T16:34:15.557708,Opened,10,2026-02-05T16:34:15.557708,3,0,WhatsApp,True,2026-01-30T16:34:15.557790,,0
POST_00027,CLI_0021,Pension Transfer Authority,Investment Planning,2026-01-31T16:34:15.557823,Completed,1,2026-02-14T16:34:15.557823,12,100,WhatsApp,True,2026-01-28T16:34:15.557904,,0
POST_00028,CLI_0049,Application Form,General Review,2026-01-15T16:34:15.557935,Completed,17,2026-01-29T16:34:15.557935,0,100,Email,False,2026-01-29T16:34:15.558006,,0
POST_00029,CLI_0040,Terms & Conditions,Investment Planning,2026-01-21T16:34:15.558030,Pending,11,2026-02-04T16:34:15.558030,2,0,Portal,True,2026-01-25T16:34:15.558097,,0
POST_00030,CLI_0033,Terms & Conditions,Protection Review,2026-01-03T16:34:15.558121,Completed,29,2026-01-17T16:34:15.558121,0,100,Portal,True,2026-01-23T16:34:15.558186,,0
POST_00031,CLI_0031,Terms & Conditions,Investment Planning,2026-01-07T16:34:15.558212,Rejected,25,2026-01-21T16:34:15.558212,0,0,WhatsApp,True,2026-01-25T16:34:15.558281,Wrong Form,0
POST_00032,CLI_0046,Investment Confirmation,Protection Review,2026-01-12T16:34:15.558306,Partially Completed,20,2026-01-26T16:34:15.558306,0,53,Email,True,2026-01-25T16:34:15.558376,,0
POST_00033,CLI_0021,Risk Questionnaire,Investment Planning,2026-01-17T16:34:15.558401,Opened,15,2026-01-31T16:34:15.558401,0,0,Email,True,2026-02-01T16:34:15.558464,,0
POST_00034,CLI_0001,Anti-Money Laundering Document,General Review,2026-01-29T16:34:15.558489,Rejected,3,2026-02-12T16:34:15.558489,10,0,Email,True,2026-01-24T16:34:15.558559,Missing Signature,0
POST_00035,CLI_0045,Terms & Conditions,General Review,2026-01-19T16:34:15.558584,Opened,13,2026-02-02T16:34:15.558584,0,0,Portal,False,2026-01-31T16:34:15.558692,,0
POST_00036,CLI_0021,Pension Transfer Authority,Investment Planning,2026-01-09T16:34:15.558718,Completed,23,2026-01-23T16:34:15.558718,0,100,SMS,True,2026-02-01T16:34:15.558793,,0
POST_00037,CLI_0023,Application Form,Pension Consolidation,2026-01-15T16:34:15.558819,Completed,17,2026-01-29T16:34:15.558819,0,100,WhatsApp,True,2026-01-26T16:34:15.558885,,0
POST_00038,CLI_0042,Risk Questionnaire,Protection Review,2026-01-05T16:34:15.558910,Completed,27,2026-01-19T16:34:15.558910,0,100,Email,False,2026-01-31T16:34:15.558974,,0
POST_00039,CLI_0036,Authority to Proceed,Retirement Planning,2026-01-15T16:34:15.558999,Opened,17,2026-01-29T16:34:15.558999,0,0,SMS,True,2026-01-26T16:34:15.559064,,0
POST_00040,CLI_0017,Investment Confirmation,General Review,2026-01-28T16:34:15.559089,Sent,4,2026-02-11T16:34:15.559089,9,0,Portal,True,2026-01-28T16:34:15.559153,,0
POST_00041,CLI_0030,AML Verification,Investment Planning,2026-01-28T16:34:15.559177,Completed,4,2026-02-11T16:34:15.559177,9,100,Email,True,2026-01-25T16:34:15.559241,,0
POST_00042,CLI_0014,Anti-Money Laundering Document,General Review,2026-01-14T16:34:15.559265,Sent,18,2026-01-28T16:34:15.559265,0,0,WhatsApp,True,2026-02-01T16:34:15.559328,,0
POST_00043,CLI_0030,Pension Transfer Authority,Investment Planning,2026-01-21T16:34:15.559354,Opened,11,2026-02-04T16:34:15.559354,2,0,Email,True,2026-01-24T16:34:15.559417,,0
POST_00044,CLI_0015,AML Verification,Investment Planning,2026-01-08T16:34:15.559442,Partially Completed,24,2026-01-22T16:34:15.559442,0,34,SMS,True,2026-01-29T16:34:15.559515,,0
POST_00045,CLI_0001,Anti-Money Laundering Document,General Review,2026-01-15T16:34:15.559539,Completed,17,2026-01-29T16:34:15.559539,0,100,SMS,True,2026-01-26T16:34:15.559600,,0
POST_00046,CLI_0022,Risk Questionnaire,General Review,2026-01-16T16:34:15.559623,Resubmitted,16,2026-01-30T16:34:15.559623,0,0,WhatsApp,True,2026-01-26T16:34:15.559746,,0
POST_00047,CLI_0029,Risk Questionnaire,Investment Planning,2026-01-20T16:34:15.559776,Partially Completed,12,2026-02-03T16:34:15.559776,1,94,SMS,True,2026-01-29T16:34:15.559846,,0
POST_00048,CLI_0018,AML Verification,General Review,2026-01-26T16:34:15.559870,Opened,6,2026-02-09T16:34:15.559870,7,0,Email,True,2026-01-25T16:34:15.559931,,0
POST_00049,CLI_0035,Risk Questionnaire,Investment Planning,2026-01-27T16:34:15.559955,Completed,5,2026-02-10T16:34:15.559955,8,100,SMS,True,2026-01-29T16:34:15.560013,,0
POST_00050,CLI_0025,AML Verification,Protection Review,2026-01-20T16:34:15.560035,Opened,12,2026-02-03T16:34:15.560035,1,0,SMS,True,2026-01-26T16:34:15.560092,,0
POST_00051,CLI_0048,AML Verification,Investment Planning,2026-01-03T16:34:15.560116,Sent,29,2026-01-17T16:34:15.560116,0,0,Portal,True,2026-01-24T16:34:15.560266,,0
POST_00052,CLI_0001,Investment Confirmation,General Review,2026-01-07T16:34:15.560291,Pending,25,2026-01-21T16:34:15.560291,0,0,SMS,True,2026-01-31T16:34:15.560354,,0
POST_00053,CLI_0042,Terms & Conditions,Protection Review,2026-01-04T16:34:15.560377,Resubmitted,28,2026-01-18T16:34:15.560377,0,0,SMS,True,2026-01-23T16:34:15.560437,,0
POST_00054,CLI_0004,Investment Confirmation,Pension Consolidation,2026-01-23T16:34:15.560466,Completed,9,2026-02-06T16:34:15.560466,4,100,Portal,True,2026-01-26T16:34:15.560524,,0
POST_00055,CLI_0034,Terms & Conditions,General Review,2026-01-14T16:34:15.560547,Completed,18,2026-01-28T16:34:15.560547,0,100,SMS,True,2026-01-31T16:34:15.560602,,0
POST_00056,CLI_0044,Investment Confirmation,Retirement Planning,2026-01-18T16:34:15.560625,Rejected,14,2026-02-01T16:34:15.560625,0,0,SMS,True,2026-01-30T16:34:15.560744,Incomplete,0
POST_00057,CLI_0022,Terms & Conditions,General Review,2026-01-22T16:34:15.560773,Sent,10,2026-02-05T16:34:15.560773,3,0,Email,False,2026-02-01T16:34:15.560834,,0
POST_00058,CLI_0007,Anti-Money Laundering Document,Pension Consolidation,2026-01-08T16:34:15.560858,Rejected,24,2026-01-22T16:34:15.560858,0,0,WhatsApp,True,2026-01-29T16:34:15.560925,Wrong Form,0
POST_00059,CLI_0006,Authority to Proceed,Investment Planning,2026-01-27T16:34:15.560948,Completed,5,2026-02-10T16:34:15.560948,8,100,Email,False,2026-01-30T16:34:15.561004,,0
POST_00060,CLI_0021,Pension Transfer Authority,Investment Planning,2026-01-26T16:34:15.561027,Resubmitted,6,2026-02-09T16:34:15.561027,7,0,WhatsApp,True,2026-01-29T16:34:15.561084,,0
POST_00061,CLI_0037,Pension Transfer Authority,Investment Planning,2026-01-16T16:34:15.561113,Partially Completed,16,2026-01-30T16:34:15.561113,0,94,Portal,True,2026-01-25T16:34:15.561181,,0
POST_00062,CLI_0013,AML Verification,General Review,2026-01-18T16:34:15.561203,Rejected,14,2026-02-01T16:34:15.561203,0,0,SMS,True,2026-01-25T16:34:15.561265,Missing Signature,0
POST_00063,CLI_0049,Authority to Proceed,General Review,2026-01-15T16:34:15.561288,Completed,17,2026-01-29T16:34:15.561288,0,100,Email,True,2026-01-31T16:34:15.561345,,0
POST_00064,CLI_0028,Authority to Proceed,General Review,2026-01-05T16:34:15.561368,Completed,27,2026-01-19T16:34:15.561368,0,100,WhatsApp,False,2026-01-30T16:34:15.561426,,0
POST_00065,CLI_0035,AML Verification,Investment Planning,2026-01-06T16:34:15.561450,Resubmitted,26,2026-01-20T16:34:15.561450,0,0,Email,True,2026-01-26T16:34:15.561519,,0
POST_00066,CLI_0041,Application Form,Investment Planning,2026-01-11T16:34:15.561550,Completed,21,2026-01-25T16:34:15.561550,0,100,Email,True,2026-02-01T16:34:15.561619,,0
POST_00067,CLI_0040,Terms & Conditions,Investment Planning,2026-01-16T16:34:15.561690,Completed,16,2026-01-30T16:34:15.561690,0,100,WhatsApp,True,2026-01-28T16:34:15.561771,,0
POST_00068,CLI_0026,Authority to Proceed,Retirement Planning,2026-01-25T16:34:15.561795,Opened,7,2026-02-08T16:34:15.561795,6,0,SMS,True,2026-01-31T16:34:15.561850,,0
POST_00069,CLI_0003,Pension Transfer Authority,Protection Review,2026-01-21T16:34:15.561874,Partially Completed,11,2026-02-04T16:34:15.561874,2,65,SMS,False,2026-01-29T16:34:15.561948,,0
POST_00070,CLI_0034,Risk Questionnaire,General Review,2026-01-16T16:34:15.561978,Partially Completed,16,2026-01-30T16:34:15.561978,0,70,WhatsApp,True,2026-01-27T16:34:15.562052,,0
POST_00071,CLI_0023,Authority to Proceed,Pension Consolidation,2026-01-18T16:34:15.562075,Completed,14,2026-02-01T16:34:15.562075,0,100,SMS,True,2026-01-29T16:34:15.562135,,0
POST_00072,CLI_0025,Investment Confirmation,Protection Review,2026-01-04T16:34:15.562157,Pending,28,2026-01-18T16:34:15.562157,0,0,Portal,True,2026-01-29T16:34:15.562214,,0
POST_00073,CLI_0033,Terms & Conditions,Protection Review,2026-01-14T16:34:15.562237,Completed,18,2026-01-28T16:34:15.562237,0,100,WhatsApp,True,2026-01-27T16:34:15.562294,,0
POST_00074,CLI_0037,Terms & Conditions,Investment Planning,2026-01-13T16:34:15.562317,Opened,19,2026-01-27T16:34:15.562317,0,0,SMS,True,2026-01-31T16:34:15.562374,,0
POST_00075,CLI_0023,Application Form,Pension Consolidation,2026-01-16T16:34:15.562397,Sent,16,2026-01-30T16:34:15.562397,0,0,WhatsApp,True,2026-01-31T16:34:15.562453,,0
POST_00076,CLI_0030,Anti-Money Laundering Document,Investment Planning,2026-01-23T16:34:15.562475,Opened,9,2026-02-06T16:34:15.562475,4,0,Email,True,2026-01-28T16:34:15.562530,,0
POST_00077,CLI_0039,Anti-Money Laundering Document,Investment Planning,2026-01-12T16:34:15.562553,Completed,20,2026-01-26T16:34:15.562553,0,100,WhatsApp,True,2026-01-23T16:34:15.562607,,0
POST_00078,CLI_0007,Risk Questionnaire,Pension Consolidation,2026-01-17T16:34:15.562668,Opened,15,2026-01-31T16:34:15.562668,0,0,SMS,True,2026-01-31T16:34:15.562756,,0
POST_00079,CLI_0015,Pension Transfer Authority,Investment Planning,2026-01-06T16:34:15.562782,Completed,26,2026-01-20T16:34:15.562782,0,100,WhatsApp,True,2026-01-27T16:34:15.562847,,0
POST_00080,CLI_0039,AML Verification,Investment Planning,2026-01-29T16:34:15.562871,Completed,3,2026-02-12T16:34:15.562871,10,100,Email,True,2026-02-01T16:34:15.562929,,0
POST_00081,CLI_0038,Risk Questionnaire,Protection Review,2026-01-21T16:34:15.562952,Completed,11,2026-02-04T16:34:15.562952,2,100,Email,True,2026-01-27T16:34:15.563011,,0
POST_00082,CLI_0046,Risk Questionnaire,Protection Review,2026-01-05T16:34:15.563034,Sent,27,2026-01-19T16:34:15.563034,0,0,WhatsApp,True,2026-02-01T16:34:15.563096,,0
POST_00083,CLI_0035,Authority to Proceed,Investment Planning,2026-01-04T16:34:15.563120,Resubmitted,28,2026-01-18T16:34:15.563120,0,0,Email,True,2026-01-29T16:34:15.563183,,2
POST_00084,CLI_0002,Risk Questionnaire,Pension Consolidation,2026-01-20T16:34:15.563213,Completed,12,2026-02-03T16:34:15.563213,1,100,SMS,False,2026-01-31T16:34:15.563279,,0
POST_00085,CLI_0034,AML Verification,General Review,2026-01-26T16:34:15.563303,Resubmitted,6,2026-02-09T16:34:15.563303,7,0,SMS,True,2026-01-29T16:34:15.563371,,1
POST_00086,CLI_0021,Application Form,Investment Planning,2026-01-17T16:34:15.563399,Resubmitted,15,2026-01-31T16:34:15.563399,0,0,Email,True,2026-01-28T16:34:15.563456,,1
POST_00087,CLI_0026,Anti-Money Laundering Document,Retirement Planning,2026-01-11T16:34:15.563483,Completed,21,2026-01-25T16:34:15.563483,0,100,SMS,True,2026-01-23T16:34:15.563537,,0
POST_00088,CLI_0008,Anti-Money Laundering Document,Protection Review,2026-01-17T16:34:15.563559,Completed,15,2026-01-31T16:34:15.563559,0,100,Email,False,2026-01-30T16:34:15.563624,,0
POST_00089,CLI_0047,Investment Confirmation,Protection Review,2026-01-19T16:34:15.563690,Partially Completed,13,2026-02-02T16:34:15.563690,0,54,WhatsApp,False,2026-01-27T16:34:15.563765,,0
POST_00090,CLI_0027,Terms & Conditions,Investment Planning,2026-01-06T16:34:15.563788,Opened,26,2026-01-20T16:34:15.563788,0,0,WhatsApp,False,2026-01-24T16:34:15.563843,,0
POST_00091,CLI_0011,Pension Transfer Authority,Investment Planning,2026-01-24T16:34:15.563867,Partially Completed,8,2026-02-07T16:34:15.563867,5,70,Portal,True,2026-01-25T16:34:15.563929,,0
POST_00092,CLI_0021,Pension Transfer Authority,Investment Planning,2026-01-08T16:34:15.563952,Pending,24,2026-01-22T16:34:15.563952,0,0,SMS,True,2026-01-31T16:34:15.564012,,0
POST_00093,CLI_0029,Pension Transfer Authority,Investment Planning,2026-01-23T16:34:15.564035,Sent,9,2026-02-06T16:34:15.564035,4,0,SMS,True,2026-01-27T16:34:15.564099,,0
POST_00094,CLI_0016,AML Verification,Investment Planning,2026-01-12T16:34:15.564160,Opened,20,2026-01-26T16:34:15.564160,0,0,Email,False,2026-01-26T16:34:15.564218,,0
POST_00095,CLI_0041,Pension Transfer Authority,Investment Planning,2026-01-03T16:34:15.564232,Pending,29,2026-01-17T16:34:15.564232,0,0,Portal,False,2026-01-28T16:34:15.564271,,0
POST_00096,CLI_0033,Application Form,Protection Review,2026-01-23T16:34:15.564285,Opened,9,2026-02-06T16:34:15.564285,4,0,WhatsApp,True,2026-01-23T16:34:15.564320,,0
POST_00097,CLI_0029,Authority to Proceed,Investment Planning,2026-01-15T16:34:15.564335,Completed,17,2026-01-29T16:34:15.564335,0,100,Portal,True,2026-01-28T16:34:15.564370,,0
POST_00098,CLI_0042,Investment Confirmation,Protection Review,2026-01-22T16:34:15.564383,Partially Completed,10,2026-02-05T16:34:15.564383,3,26,SMS,False,2026-01-24T16:34:15.564420,,0
POST_00099,CLI_0009,Anti-Money Laundering Document,Retirement Planning,2026-01-05T16:34:15.564433,Resubmitted,27,2026-01-19T16:34:15.564433,0,0,SMS,True,2026-01-24T16:34:15.564467,,1
POST_00100,CLI_0003,Terms & Conditions,Protection Review,2026-01-03T16:34:15.564484,Partially Completed,29,2026-01-17T16:34:15.564484,0,52,SMS,False,2026-01-31T16:34:15.564520,,0
POST_00101,CLI_0023,Risk Questionnaire,Pension Consolidation,2026-01-20T16:34:15.564533,Completed,12,2026-02-03T16:34:15.564533,1,100,Portal,True,2026-01-29T16:34:15.564567,,0
POST_00102,CLI_0001,Application Form,General Review,2026-01-15T16:34:15.564580,Partially Completed,17,2026-01-29T16:34:15.564580,0,93,Email,False,2026-01-26T16:34:15.564617,,0
POST_00103,CLI_0011,Pension Transfer Authority,Investment Planning,2026-01-10T16:34:15.564630,Completed,22,2026-01-24T16:34:15.564630,0,100,Email,True,2026-02-01T16:34:15.564708,,0
POST_00104,CLI_0024,Investment Confirmation,Protection Review,2026-01-22T16:34:15.564723,Completed,10,2026-02-05T16:34:15.564723,3,100,Portal,False,2026-01-25T16:34:15.564760,,0
POST_00105,CLI_0016,Authority to Proceed,Investment Planning,2026-01-15T16:34:15.564774,Opened,17,2026-01-29T16:34:15.564774,0,0,WhatsApp,False,2026-01-24T16:34:15.564808,,0
POST_00106,CLI_0034,Authority to Proceed,General Review,2026-01-31T16:34:15.564821,Completed,1,2026-02-14T16:34:15.564821,12,100,WhatsApp,True,2026-01-28T16:34:15.564856,,0
POST_00107,CLI_0035,Anti-Money Laundering Document,Investment Planning,2026-01-22T16:34:15.564871,Pending,10,2026-02-05T16:34:15.564871,3,0,SMS,True,2026-01-23T16:34:15.564910,,0
POST_00108,CLI_0050,Investment Confirmation,Pension Consolidation,2026-01-25T16:34:15.564923,Opened,7,2026-02-08T16:34:15.564923,6,0,WhatsApp,True,2026-02-01T16:34:15.564957,,0
POST_00109,CLI_0026,Application Form,Retirement Planning,2026-01-27T16:34:15.564970,Resubmitted,5,2026-02-10T16:34:15.564970,8,0,SMS,True,2026-01-26T16:34:15.565004,,1
POST_00110,CLI_0036,Pension Transfer Authority,Retirement Planning,2026-01-04T16:34:15.565021,Completed,28,2026-01-18T16:34:15.565021,0,100,Portal,False,2026-01-27T16:34:15.565055,,0
POST_00111,CLI_0036,Application Form,Retirement Planning,2026-01-09T16:34:15.565068,Sent,23,2026-01-23T16:34:15.565068,0,0,SMS,True,2026-01-28T16:34:15.565102,,0
POST_00112,CLI_0022,Pension Transfer Authority,General Review,2026-01-21T16:34:15.565114,Completed,11,2026-02-04T16:34:15.565114,2,100,Email,False,2026-01-29T16:34:15.565150,,0
POST_00113,CLI_0004,AML Verification,Pension Consolidation,2026-01-12T16:34:15.565163,Rejected,20,2026-01-26T16:34:15.565163,0,0,Portal,True,2026-01-27T16:34:15.565200,Wrong Form,0
POST_00114,CLI_0002,Anti-Money Laundering Document,Pension Consolidation,2026-01-28T16:34:15.565213,Completed,4,2026-02-11T16:34:15.565213,9,100,WhatsApp,False,2026-01-27T16:34:15.565247,,0
POST_00115,CLI_0026,Anti-Money Laundering Document,Retirement Planning,2026-01-15T16:34:15.565260,Rejected,17,2026-01-29T16:34:15.565260,0,0,WhatsApp,True,2026-02-01T16:34:15.565297,Missing Signature,0
POST_00116,CLI_0037,Risk Questionnaire,Investment Planning,2026-01-12T16:34:15.565310,Pending,20,2026-01-26T16:34:15.565310,0,0,SMS,True,2026-01-30T16:34:15.565347,,0
POST_00117,CLI_0039,Risk Questionnaire,Investment Planning,2026-01-17T16:34:15.565365,Rejected,15,2026-01-31T16:34:15.565365,0,0,WhatsApp,False,2026-01-28T16:34:15.565403,Wrong Form,0
POST_00118,CLI_0018,Pension Transfer Authority,General Review,2026-01-28T16:34:15.565416,Completed,4,2026-02-11T16:34:15.565416,9,100,WhatsApp,False,2026-01-30T16:34:15.565450,,0
POST_00119,CLI_0005,Application Form,Pension Consolidation,2026-01-06T16:34:15.565463,Resubmitted,26,2026-01-20T16:34:15.565463,0,0,SMS,True,2026-01-28T16:34:15.565497,,0
POST_00120,CLI_0042,Application Form,Protection Review,2026-01-15T16:34:15.565513,Opened,17,2026-01-29T16:34:15.565513,0,0,Portal,True,2026-01-24T16:34:15.565546,,0
POST_00121,CLI_0029,Anti-Money Laundering Document,Investment Planning,2026-01-14T16:34:15.565559,Completed,18,2026-01-28T16:34:15.565559,0,100,WhatsApp,True,2026-01-23T16:34:15.565594,,0
POST_00122,CLI_0029,Investment Confirmation,Investment Planning,2026-01-03T16:34:15.565607,Opened,29,2026-01-17T16:34:15.565607,0,0,SMS,False,2026-01-26T16:34:15.565677,,0
POST_00123,CLI_0016,Authority to Proceed,Investment Planning,2026-01-18T16:34:15.565695,Resubmitted,14,2026-02-01T16:34:15.565695,0,0,SMS,True,2026-01-27T16:34:15.565769,,0
POST_00124,CLI_0042,Risk Questionnaire,Protection Review,2026-01-06T16:34:15.565791,Opened,26,2026-01-20T16:34:15.565791,0,0,SMS,False,2026-01-24T16:34:15.565833,,0
POST_00125,CLI_0038,Anti-Money Laundering Document,Protection Review,2026-01-28T16:34:15.565846,Partially Completed,4,2026-02-11T16:34:15.565846,9,96,Portal,False,2026-01-25T16:34:15.565887,,0
POST_00126,CLI_0044,Risk Questionnaire,Retirement Planning,2026-01-20T16:34:15.565900,Completed,12,2026-02-03T16:34:15.565900,1,100,Email,True,2026-01-24T16:34:15.565935,,0
POST_00127,CLI_0042,Pension Transfer Authority,Protection Review,2026-01-31T16:34:15.565952,Opened,1,2026-02-14T16:34:15.565952,12,0,SMS,False,2026-01-30T16:34:15.565986,,0
POST_00128,CLI_0026,Application Form,Retirement Planning,2026-01-03T16:34:15.565999,Sent,29,2026-01-17T16:34:15.565999,0,0,SMS,True,2026-01-30T16:34:15.566033,,0
POST_00129,CLI_0046,AML Verification,Protection Review,2026-01-07T16:34:15.566046,Completed,25,2026-01-21T16:34:15.566046,0,100,WhatsApp,True,2026-01-26T16:34:15.566082,,0
POST_00130,CLI_0023,Application Form,Pension Consolidation,2026-01-30T16:34:15.566096,Sent,2,2026-02-13T16:34:15.566096,11,0,Email,True,2026-01-31T16:34:15.566130,,0
POST_00131,CLI_0032,Risk Questionnaire,Investment Planning,2026-01-19T16:34:15.566143,Rejected,13,2026-02-02T16:34:15.566143,0,0,SMS,True,2026-01-25T16:34:15.566180,Wrong Form,0
POST_00132,CLI_0043,Investment Confirmation,Protection Review,2026-01-07T16:34:15.566193,Completed,25,2026-01-21T16:34:15.566193,0,100,SMS,False,2026-01-27T16:34:15.566226,,0
POST_00133,CLI_0003,Anti-Money Laundering Document,Protection Review,2026-01-29T16:34:15.566239,Partially Completed,3,2026-02-12T16:34:15.566239,10,23,Email,True,2026-01-23T16:34:15.566275,,0
POST_00134,CLI_0049,Risk Questionnaire,General Review,2026-01-20T16:34:15.566288,Partially Completed,12,2026-02-03T16:34:15.566288,1,65,WhatsApp,True,2026-01-23T16:34:15.566324,,0
POST_00135,CLI_0018,Anti-Money Laundering Document,General Review,2026-01-28T16:34:15.566336,Sent,4,2026-02-11T16:34:15.566336,9,0,SMS,True,2026-01-28T16:34:15.566369,,0
POST_00136,CLI_0030,Risk Questionnaire,Investment Planning,2026-01-21T16:34:15.566381,Completed,11,2026-02-04T16:34:15.566381,2,100,Portal,True,2026-01-31T16:34:15.566414,,0
POST_00137,CLI_0047,Application Form,Protection Review,2026-01-13T16:34:15.566429,Rejected,19,2026-01-27T16:34:15.566429,0,0,WhatsApp,True,2026-01-25T16:34:15.566467,Incomplete,0
POST_00138,CLI_0019,Investment Confirmation,Pension Consolidation,2026-01-05T16:34:15.566479,Pending,27,2026-01-19T16:34:15.566479,0,0,SMS,True,2026-01-30T16:34:15.566513,,0
POST_00139,CLI_0050,Risk Questionnaire,Pension Consolidation,2026-01-03T16:34:15.566526,Partially Completed,29,2026-01-17T16:34:15.566526,0,40,Email,True,2026-01-30T16:34:15.566575,,0
POST_00140,CLI_0033,Investment Confirmation,Protection Review,2026-01-16T16:34:15.566588,Rejected,16,2026-01-30T16:34:15.566588,0,0,Portal,False,2026-01-28T16:34:15.566626,Wrong Form,0
POST_00141,CLI_0042,AML Verification,Protection Review,2026-01-11T16:34:15.566673,Rejected,21,2026-01-25T16:34:15.566673,0,0,Email,True,2026-02-01T16:34:15.566725,Wrong Form,0
