provider,submission_date,days_to_response,sla_compliant,response_completeness_score,month,quarter
Fidelity,2025-03-09T16:34:15.625034,8,True,1.0,3,Q1
Fidelity,2025-08-25T16:34:15.625070,9,True,0.7,8,Q3
Fidelity,2025-10-22T16:34:15.625105,8,True,0.7,10,Q4
Fidelity,2025-11-03T16:34:15.625141,22,False,1.0,11,Q4
Fidelity,2025-09-03T16:34:15.625177,10,True,1.0,9,Q3
Fidelity,2025-03-07T16:34:15.625212,19,False,1.0,3,Q1
Fidelity,2025-12-23T16:34:15.625252,21,False,0.7,12,Q4
Fidelity,2025-12-03T16:34:15.625289,10,True,1.0,12,Q4
Fidelity,2025-08-23T16:34:15.625327,8,True,1.0,8,Q3
Fidelity,2025-07-24T16:34:15.625366,17,False,1.0,7,Q3
Fidelity,2025-09-08T16:34:15.625402,19,False,1.0,9,Q3
Fidelity,2025-12-30T16:34:15.625438,16,False,1.0,12,Q4
Fidelity,2025-11-05T16:34:15.625474,11,True,1.0,11,Q4
Fidelity,2025-12-31T16:34:15.625509,15,True,1.0,12,Q4
Fidelity,2025-08-22T16:34:15.625545,17,False,0.7,8,Q3
Fidelity,2025-08-27T16:34:15.625581,15,True,1.0,8,Q3
Fidelity,2025-10-15T16:34:15.625617,22,False,0.7,10,Q4
Legal & General,2025-03-06T16:34:15.625695,14,True,1.0,3,Q1
Legal & General,2025-04-17T16:34:15.625775,11,True,1.0,4,Q2
Legal & General,2025-09-12T16:34:15.625822,14,True,1.0,9,Q3
Legal & General,2025-06-13T16:34:15.625926,20,False,1.0,6,Q2
Legal & General,2025-06-07T16:34:15.625965,7,True,0.7,6,Q2
Legal & General,2025-08-21T16:34:15.626002,15,True,0.7,8,Q3
Legal & General,2025-10-12T16:34:15.626048,12,True,1.0,10,Q4
Legal & General,2025-03-15T16:34:15.626117,18,False,1.0,3,Q1
Legal & General,2025-07-15T16:34:15.626178,16,False,0.7,7,Q3
Legal & General,2025-06-28T16:34:15.626240,19,False,0.7,6,Q2
Legal & General,2025-05-02T16:34:15.626307,25,False,1.0,5,Q2
Legal & General,2025-04-03T16:34:15.626371,7,True,0.7,4,Q2
Legal & General,2025-10-16T16:34:15.626440,19,False,0.7,10,Q4
Legal & General,2025-12-29T16:34:15.626514,15,True,0.7,12,Q4
Legal & General,2025-09-08T16:34:15.626612,12,True,0.7,9,Q3
Legal & General,2025-03-28T16:34:15.626737,16,False,0.7,3,Q1
Legal & General,2025-05-12T16:34:15.626823,13,True,1.0,5,Q2
Legal & General,2025-12-18T16:34:15.626906,10,True,1.0,12,Q4
Legal & General,2025-11-29T16:34:15.626987,10,True,1.0,11,Q4
Legal & General,2025-02-22T16:34:15.627068,10,True,1.0,2,Q1
Legal & General,2025-05-28T16:34:15.627148,13,True,0.7,5,Q2
Legal & General,2025-10-08T16:34:15.627228,18,False,0.7,10,Q4
Legal & General,2025-03-03T16:34:15.627307,16,False,1.0,3,Q1
Legal & General,2025-05-24T16:34:15.627380,12,True,1.0,5,Q2
Legal & General,2025-02-06T16:34:15.627455,12,True,0.7,2,Q1
Legal & General,2025-02-04T16:34:15.627525,9,True,1.0,2,Q1
Legal & General,2025-11-02T16:34:15.627595,9,True,1.0,11,Q4
Legal & General,2025-12-06T16:34:15.627711,12,True,1.0,12,Q4
Legal & General,2025-12-12T16:34:15.627790,9,True,1.0,12,Q4
Legal & General,2025-04-28T16:34:15.627860,12,True,1.0,4,Q2
Legal & General,2025-02-11T16:34:15.627932,15,True,1.0,2,Q1
Legal & General,2025-09-30T16:34:15.628010,20,False,1.0,9,Q3
Legal & General,2025-07-01T16:34:15.628082,15,True,0.7,7,Q3
Legal & General,2025-04-07T16:34:15.628230,17,False,0.7,4,Q2
Legal & General,2025-05-24T16:34:15.628313,17,False,0.7,5,Q2
Legal & General,2025-06-06T16:34:15.628383,17,False,1.0,6,Q2
Legal & General,2025-08-29T16:34:15.628452,14,True,0.7,8,Q3
Legal & General,2025-11-02T16:34:15.628521,8,True,1.0,11,Q4
Legal & General,2025-08-08T16:34:15.628589,15,True,1.0,8,Q3
Legal & General,2025-08-07T16:34:15.628702,12,True,0.7,8,Q3
Legal & General,2025-04-12T16:34:15.628782,14,True,0.7,4,Q2
Legal & General,2025-11-11T16:34:15.628854,12,True,1.0,11,Q4
Legal & General,2025-09-28T16:34:15.628919,20,False,0.3,9,Q3
Legal & General,2025-03-23T16:34:15.628985,11,True,1.0,3,Q1
Legal & General,2025-11-12T16:34:15.629046,11,True,1.0,11,Q4
Legal & General,2025-07-22T16:34:15.629107,12,True,1.0,7,Q3
Legal & General,2025-04-14T16:34:15.629167,17,False,0.7,4,Q2
Legal & General,2025-02-07T16:34:15.629226,17,False,1.0,2,Q1
Legal & General,2025-11-30T16:34:15.629285,17,False,0.7,11,Q4
Legal & General,2025-03-31T16:34:15.629343,17,False,0.7,3,Q1
Aon,2025-08-03T16:34:15.629406,16,False,1.0,8,Q3
Aon,2025-04-01T16:34:15.629473,15,True,0.3,4,Q2
Aon,2025-05-22T16:34:15.629536,19,False,0.7,5,Q2
Aon,2025-02-04T16:34:15.629595,10,True,0.3,2,Q1
Aon,2025-06-10T16:34:15.629707,26,False,1.0,6,Q2
Aon,2025-04-19T16:34:15.629790,10,True,0.7,4,Q2
Aon,2025-05-07T16:34:15.629853,17,False,1.0,5,Q2
Aon,2025-09-15T16:34:15.629913,16,False,0.7,9,Q3
Aon,2025-11-01T16:34:15.629977,17,False,1.0,11,Q4
Aon,2025-10-28T16:34:15.630039,15,True,1.0,10,Q4
Aon,2025-03-20T16:34:15.630101,17,False,0.7,3,Q1
Aon,2025-02-24T16:34:15.630163,15,True,0.7,2,Q1
Aon,2025-08-07T16:34:15.630222,14,True,1.0,8,Q3
Aon,2025-05-03T16:34:15.630280,10,True,1.0,5,Q2
Aon,2025-10-30T16:34:15.630339,13,True,0.7,10,Q4
Aon,2025-12-28T16:34:15.630398,23,False,1.0,12,Q4
Aon,2025-05-30T16:34:15.630458,19,False,0.7,5,Q2
Aon,2025-08-05T16:34:15.630516,21,False,1.0,8,Q3
Aon,2025-10-17T16:34:15.630574,10,True,0.7,10,Q4
Aon,2025-08-07T16:34:15.630674,15,True,0.7,8,Q3
Aon,2025-11-17T16:34:15.630755,25,False,0.7,11,Q4
Aon,2025-05-06T16:34:15.630839,16,False,1.0,5,Q2
Aon,2025-04-07T16:34:15.630910,10,True,1.0,4,Q2
Aon,2025-09-13T16:34:15.630973,17,False,0.7,9,Q3
Aon,2025-07-04T16:34:15.631032,18,False,0.7,7,Q3
Aon,2025-09-07T16:34:15.631096,19,False,1.0,9,Q3
Aon,2025-05-02T16:34:15.631175,10,True,1.0,5,Q2
Aon,2025-11-06T16:34:15.631250,11,True,0.7,11,Q4
Aon,2025-09-17T16:34:15.631313,14,True,1.0,9,Q3
Aon,2025-11-17T16:34:15.631373,16,False,0.7,11,Q4
Aon,2025-12-10T16:34:15.631433,27,False,0.3,12,Q4
Aon,2025-10-04T16:34:15.631494,10,True,1.0,10,Q4
Aon,2025-12-18T16:34:15.631556,14,True,1.0,12,Q4
Aon,2025-07-09T16:34:15.631616,23,False,1.0,7,Q3
Aon,2025-06-28T16:34:15.631731,26,False,1.0,6,Q2
Aon,2025-06-17T16:34:15.631795,14,True,1.0,6,Q2
Aon,2025-09-14T16:34:15.631855,10,True,0.7,9,Q3
Aon,2025-03-08T16:34:15.631922,13,True,1.0,3,Q1
Aon,2025-04-11T16:34:15.631986,29,False,1.0,4,Q2
Aon,2025-08-19T16:34:15.632050,21,False,1.0,8,Q3
Aon,2025-06-12T16:34:15.632116,17,False,1.0,6,Q2
Aon,2025-07-21T16:34:15.632246,27,False,0.7,7,Q3
Aon,2025-05-03T16:34:15.632322,18,False,0.7,5,Q2
Aon,2025-10-26T16:34:15.632392,23,False,1.0,10,Q4
Aon,2025-02-22T16:34:15.632463,28,False,0.7,2,Q1
Aon,2025-10-17T16:34:15.632534,15,True,1.0,10,Q4
Aon,2025-09-03T16:34:15.632595,22,False,0.7,9,Q3
Aon,2025-04-25T16:34:15.632703,25,False,1.0,4,Q2
Aon,2025-03-02T16:34:15.632784,21,False,1.0,3,Q1
Aon,2025-11-06T16:34:15.632849,19,False,0.7,11,Q4
Transamerica,2025-08-06T16:34:15.632908,17,False,0.7,8,Q3
Transamerica,2025-06-12T16:34:15.632968,23,False,0.7,6,Q2
Transamerica,2025-08-21T16:34:15.633029,11,True,1.0,8,Q3
Transamerica,2025-05-05T16:34:15.633088,21,False,1.0,5,Q2
Transamerica,2025-11-15T16:34:15.633144,20,False,1.0,11,Q4
Transamerica,2025-05-25T16:34:15.633217,13,True,1.0,5,Q2
Transamerica,2025-03-26T16:34:15.633274,12,True,0.3,3,Q1
Transamerica,2025-02-15T16:34:15.633312,31,False,1.0,2,Q1
Transamerica,2025-05-15T16:34:15.633349,23,False,0.7,5,Q2
Transamerica,2025-06-11T16:34:15.633390,26,False,0.7,6,Q2
Transamerica,2025-09-13T16:34:15.633429,19,False,1.0,9,Q3
Transamerica,2025-08-20T16:34:15.633466,21,False,1.0,8,Q3
Transamerica,2025-04-12T16:34:15.633502,15,True,1.0,4,Q2
Transamerica,2025-08-27T16:34:15.633538,11,True,1.0,8,Q3
Transamerica,2025-02-28T16:34:15.633574,27,False,1.0,2,Q1
Transamerica,2025-10-04T16:34:15.633609,22,False,1.0,10,Q4
Transamerica,2025-09-22T16:34:15.633682,21,False,1.0,9,Q3
Transamerica,2025-05-13T16:34:15.633754,26,False,0.3,5,Q2
Transamerica,2025-11-26T16:34:15.633813,19,False,0.3,11,Q4
Transamerica,2025-11-14T16:34:15.633875,17,False,1.0,11,Q4
Transamerica,2025-03-16T16:34:15.633915,22,False,0.7,3,Q1
Transamerica,2025-03-24T16:34:15.633952,17,False,1.0,3,Q1
Transamerica,2025-04-05T16:34:15.633992,16,False,1.0,4,Q2
Transamerica,2025-05-20T16:34:15.634029,17,False,1.0,5,Q2
Transamerica,2025-03-22T16:34:15.634065,17,False,0.7,3,Q1
Transamerica,2025-04-25T16:34:15.634100,17,False,0.7,4,Q2
Transamerica,2025-06-02T16:34:15.634139,22,False,0.7,6,Q2
Transamerica,2025-03-14T16:34:15.634175,24,False,0.7,3,Q1
Transamerica,2025-06-19T16:34:15.634210,16,False,1.0,6,Q2
Transamerica,2025-02-13T16:34:15.634248,31,False,1.0,2,Q1
Transamerica,2025-09-16T16:34:15.634284,20,False,0.7,9,Q3
Transamerica,2025-04-19T16:34:15.634321,16,False,1.0,4,Q2
Transamerica,2025-11-05T16:34:15.634356,25,False,1.0,11,Q4
Transamerica,2025-04-27T16:34:15.634391,18,False,1.0,4,Q2
Transamerica,2025-02-21T16:34:15.634427,24,False,0.7,2,Q1
Transamerica,2025-05-02T16:34:15.634462,14,True,1.0,5,Q2
Transamerica,2025-11-27T16:34:15.634498,23,False,1.0,11,Q4
Transamerica,2025-02-14T16:34:15.634533,30,False,0.7,2,Q1
Transamerica,2025-02-07T16:34:15.634569,16,False,0.3,2,Q1
Transamerica,2025-10-27T16:34:15.634605,18,False,1.0,10,Q4
Transamerica,2025-10-18T16:34:15.634673,15,True,1.0,10,Q4
Transamerica,2025-07-31T16:34:15.634724,21,False,1.0,7,Q3
Transamerica,2025-02-26T16:34:15.634762,23,False,1.0,2,Q1
Transamerica,2025-04-25T16:34:15.634803,20,False,1.0,4,Q2
Transamerica,2025-03-11T16:34:15.634841,20,False,1.0,3,Q1
Transamerica,2025-04-07T16:34:15.634876,10,True,1.0,4,Q2
Transamerica,2025-02-06T16:34:15.634915,23,False,1.0,2,Q1
Transamerica,2025-05-26T16:34:15.634951,18,False,0.7,5,Q2
Transamerica,2025-07-30T16:34:15.634986,13,True,1.0,7,Q3
Transamerica,2025-02-05T16:34:15.635024,10,True,1.0,2,Q1
Prudential,2025-03-31T16:34:15.635062,20,False,1.0,3,Q1
Prudential,2025-12-02T16:34:15.635098,22,False,0.3,12,Q4
Prudential,2025-04-28T16:34:15.635133,10,True,0.3,4,Q2
Prudential,2025-05-01T16:34:15.635169,10,True,0.7,5,Q2
Prudential,2025-02-14T16:34:15.635207,12,True,1.0,2,Q1
Prudential,2025-03-08T16:34:15.635243,15,True,0.7,3,Q1
Prudential,2025-03-03T16:34:15.635279,27,False,1.0,3,Q1
Prudential,2025-03-04T16:34:15.635314,20,False,1.0,3,Q1
Prudential,2025-10-25T16:34:15.635352,24,False,1.0,10,Q4
Prudential,2025-12-10T16:34:15.635388,16,False,1.0,12,Q4
Prudential,2025-02-10T16:34:15.635427,17,False,1.0,2,Q1
Prudential,2025-06-09T16:34:15.635463,26,False,1.0,6,Q2
Prudential,2025-09-22T16:34:15.635499,21,False,0.7,9,Q3
Prudential,2025-12-19T16:34:15.635535,13,True,1.0,12,Q4
Prudential,2025-10-23T16:34:15.635570,11,True,1.0,10,Q4
Prudential,2025-12-28T16:34:15.635606,10,True,1.0,12,Q4
Prudential,2025-04-07T16:34:15.635676,18,False,0.7,4,Q2
Prudential,2025-06-06T16:34:15.635725,18,False,0.7,6,Q2
Prudential,2025-03-18T16:34:15.635766,10,True,1.0,3,Q1
Prudential,2025-07-20T16:34:15.635804,21,False,1.0,7,Q3
Prudential,2025-11-12T16:34:15.635840,23,False,0.3,11,Q4
Prudential,2025-08-06T16:34:15.635877,15,True,1.0,8,Q3
Prudential,2025-09-09T16:34:15.635913,13,True,1.0,9,Q3
Prudential,2025-07-04T16:34:15.635948,23,False,0.7,7,Q3
Prudential,2025-09-18T16:34:15.635984,18,False,0.7,9,Q3
Prudential,2025-05-05T16:34:15.636019,16,False,1.0,5,Q2
Prudential,2025-08-07T16:34:15.636055,19,False,0.7,8,Q3
Prudential,2025-10-09T16:34:15.636094,19,False,1.0,10,Q4
Prudential,2025-10-08T16:34:15.636163,10,True,1.0,10,Q4
Prudential,2025-03-21T16:34:15.636214,20,False,1.0,3,Q1
Prudential,2025-12-18T16:34:15.636252,21,False,0.7,12,Q4
Prudential,2025-03-15T16:34:15.636289,20,False,0.7,3,Q1
Prudential,2025-12-02T16:34:15.636325,18,False,1.0,12,Q4
Prudential,2025-09-14T16:34:15.636360,25,False,0.7,9,Q3
Prudential,2025-09-11T16:34:15.636399,15,True,1.0,9,Q3
Prudential,2025-10-02T16:34:15.636435,24,False,0.3,10,Q4
Prudential,2025-05-15T16:34:15.636470,22,False,0.3,5,Q2
Prudential,2025-03-08T16:34:15.636506,15,True,1.0,3,Q1
Prudential,2025-11-12T16:34:15.636544,10,True,1.0,11,Q4
Prudential,2025-04-19T16:34:15.636580,10,True,1.0,4,Q2
Prudential,2025-12-25T16:34:15.636615,12,True,1.0,12,Q4
Prudential,2025-07-15T16:34:15.636689,23,False,1.0,7,Q3
Prudential,2025-02-24T16:34:15.636733,14,True,0.7,2,Q1
Prudential,2025-12-05T16:34:15.636771,13,True,0.3,12,Q4
Prudential,2025-03-09T16:34:15.636812,20,False,1.0,3,Q1
Prudential,2025-08-24T16:34:15.636848,17,False,1.0,8,Q3
Prudential,2025-05-21T16:34:15.636884,20,False,1.0,5,Q2
Prudential,2025-11-09T16:34:15.636920,13,True,1.0,11,Q4
Prudential,2025-03-16T16:34:15.636955,13,True,1.0,3,Q1
Prudential,2025-07-07T16:34:15.636991,15,True,1.0,7,Q3
Friends Life,2025-03-26T16:34:15.637027,14,True,1.0,3,Q1
Friends Life,2025-07-06T16:34:15.637063,20,False,1.0,7,Q3
Friends Life,2025-04-18T16:34:15.637099,21,False,0.3,4,Q2
Friends Life,2025-06-06T16:34:15.637135,15,True,0.3,6,Q2
Friends Life,2025-04-21T16:34:15.637170,20,False,1.0,4,Q2
Friends Life,2025-05-03T16:34:15.637205,21,False,0.3,5,Q2
Friends Life,2025-08-10T16:34:15.637241,14,True,1.0,8,Q3
Friends Life,2025-03-30T16:34:15.637278,16,False,0.7,3,Q1
Friends Life,2025-02-09T16:34:15.637314,29,False,1.0,2,Q1
Friends Life,2025-02-12T16:34:15.637350,12,True,1.0,2,Q1
Friends Life,2025-05-09T16:34:15.637385,13,True,1.0,5,Q2
Friends Life,2025-12-11T16:34:15.637424,15,True,1.0,12,Q4
Friends Life,2025-04-02T16:34:15.637460,24,False,0.7,4,Q2
Friends Life,2025-07-11T16:34:15.637495,24,False,0.7,7,Q3
Friends Life,2025-05-07T16:34:15.637534,17,False,1.0,5,Q2
Friends Life,2025-09-19T16:34:15.637570,10,True,0.3,9,Q3
Friends Life,2025-08-11T16:34:15.637605,15,True,0.3,8,Q3
Friends Life,2025-04-18T16:34:15.637673,11,True,1.0,4,Q2
Friends Life,2025-03-24T16:34:15.637740,23,False,1.0,3,Q1
Friends Life,2025-03-07T16:34:15.637803,24,False,1.0,3,Q1
Friends Life,2025-04-14T16:34:15.637841,14,True,0.7,4,Q2
Friends Life,2025-09-25T16:34:15.637877,21,False,1.0,9,Q3
Friends Life,2025-11-28T16:34:15.637913,16,False,1.0,11,Q4
Friends Life,2025-07-20T16:34:15.637949,19,False,0.7,7,Q3
Friends Life,2025-09-19T16:34:15.637984,21,False,0.7,9,Q3
Friends Life,2025-08-03T16:34:15.638020,20,False,0.7,8,Q3
Friends Life,2025-08-11T16:34:15.638055,19,False,0.7,8,Q3
Friends Life,2025-12-19T16:34:15.638094,22,False,1.0,12,Q4
Friends Life,2025-02-18T16:34:15.638133,16,False,0.3,2,Q1
Friends Life,2025-07-07T16:34:15.638169,21,False,1.0,7,Q3
Friends Life,2025-07-19T16:34:15.638204,26,False,0.7,7,Q3
Friends Life,2025-04-21T16:34:15.638240,19,False,1.0,4,Q2
Friends Life,2025-07-26T16:34:15.638288,15,True,0.7,7,Q3
Friends Life,2025-12-04T16:34:15.638351,19,False,1.0,12,Q4
Friends Life,2025-11-06T16:34:15.638410,24,False,0.7,11,Q4
Friends Life,2025-08-28T16:34:15.638472,20,False,0.7,8,Q3
Friends Life,2025-04-18T16:34:15.638538,14,True,1.0,4,Q2
Friends Life,2025-03-19T16:34:15.638602,19,False,1.0,3,Q1
Friends Life,2025-02-26T16:34:15.638715,14,True,1.0,2,Q1
Friends Life,2025-04-15T16:34:15.638805,22,False,1.0,4,Q2
Friends Life,2025-04-12T16:34:15.638887,12,True,0.3,4,Q2
Friends Life,2025-04-03T16:34:15.638968,18,False,1.0,4,Q2
