message_id,client_id,date,direction,channel,message_text,sentiment,length_words,contains_question,response_time_hours
MSG_000029,CLI_0004,2025-12-28T16:34:15.577679,Client to Advisor,Phone,Don't understand form,Confused,3,False,43.0
MSG_000030,CLI_0023,2025-11-18T16:34:15.577762,Advisor to Client,Email,I'll get back soon,Neutral,4,False,
MSG_000031,CLI_0039,2025-12-08T16:34:15.577819,Client to Advisor,SMS,I'll do that,Neutral,3,False,26.0
MSG_000032,CLI_0040,2025-11-16T16:34:15.577863,Client to Advisor,WhatsApp,What does this mean?,Confused,4,True,
MSG_000033,CLI_0024,2026-01-19T16:34:15.577903,Client to Advisor,Email,What does this mean?,Confused,4,True,
MSG_000034,CLI_0027,2026-01-12T16:34:15.577942,Advisor to Client,Phone,"Ok, I'll send documents",Neutral,4,False,23.0
MSG_000035,CLI_0008,2026-01-07T16:34:15.577985,Client to Advisor,WhatsApp,I'll get back soon,Neutral,4,False,31.0
MSG_000036,CLI_0037,2025-12-09T16:34:15.578027,Client to Advisor,Email,Can you clarify?,Confused,3,True,25.0
MSG_000037,CLI_0035,2025-11-26T16:34:15.578069,Advisor to Client,Email,Just do this please,Frustrated,4,False,
MSG_000038,CLI_0050,2025-12-11T16:34:15.578108,Client to Advisor,Email,"Ok, I'll send documents",Neutral,4,False,42.0
MSG_000039,CLI_0012,2026-01-05T16:34:15.578150,Advisor to Client,Phone,"Great, ready to proceed",Positive,4,False,42.0
MSG_000040,CLI_0049,2026-01-12T16:34:15.578193,Advisor to Client,Email,I'll get back soon,Neutral,4,False,8.0
MSG_000041,CLI_0038,2026-01-01T16:34:15.578236,Advisor to Client,Phone,No problem,Neutral,2,False,17.0
MSG_000042,CLI_0015,2025-12-15T16:34:15.578279,Advisor to Client,Phone,Really appreciate the guidance,Positive,4,False,18.0
MSG_000043,CLI_0015,2025-12-20T16:34:15.578323,Advisor to Client,WhatsApp,Understood,Neutral,1,False,5.0
MSG_000044,CLI_0018,2025-11-07T16:34:15.578365,Client to Advisor,WhatsApp,Thanks so much for your help!,Positive,6,False,
MSG_000045,CLI_0012,2026-01-12T16:34:15.578405,Client to Advisor,WhatsApp,"Great, ready to proceed",Positive,4,False,
MSG_000046,CLI_0029,2026-01-10T16:34:15.578444,Advisor to Client,Phone,I'll get back soon,Neutral,4,False,14.0
MSG_000047,CLI_0039,2025-11-18T16:34:15.578486,Advisor to Client,Phone,Really appreciate the guidance,Positive,4,False,44.0
MSG_000048,CLI_0034,2025-12-01T16:34:15.578528,Client to Advisor,SMS,Really appreciate the guidance,Positive,4,False,25.0
MSG_000049,CLI_0003,2025-12-29T16:34:15.578570,Client to Advisor,Phone,You've been very helpful,Positive,4,False,30.0
MSG_000050,CLI_0017,2025-11-09T16:34:15.578611,Advisor to Client,SMS,Can you clarify?,Confused,3,True,27.0
MSG_000051,CLI_0049,2026-01-21T16:34:15.578697,Advisor to Client,SMS,This is taking forever,Frustrated,4,False,47.0
MSG_000052,CLI_0034,2025-12-09T16:34:15.578745,Advisor to Client,Email,I've sent this twice!,Frustrated,4,False,3.0
MSG_000053,CLI_0018,2025-12-16T16:34:15.578787,Advisor to Client,Phone,Everything is clear now,Positive,4,False,18.0
MSG_000054,CLI_0048,2026-01-20T16:34:15.578830,Client to Advisor,SMS,I've sent this twice!,Frustrated,4,False,1.0
MSG_000055,CLI_0049,2026-01-08T16:34:15.578872,Client to Advisor,Email,Which document?,Confused,2,True,
MSG_000056,CLI_0042,2025-11-22T16:34:15.578912,Client to Advisor,WhatsApp,Just do this please,Frustrated,4,False,11.0
MSG_000057,CLI_0009,2025-12-06T16:34:15.578960,Client to Advisor,WhatsApp,You've been very helpful,Positive,4,False,37.0
MSG_000058,CLI_0039,2026-01-20T16:34:15.579003,Advisor to Client,WhatsApp,Thanks so much for your help!,Positive,6,False,
MSG_000059,CLI_0029,2026-01-01T16:34:15.579042,Advisor to Client,WhatsApp,"Perfect, that makes sense",Positive,4,False,11.0
MSG_000060,CLI_0034,2026-01-03T16:34:15.579084,Advisor to Client,Email,Everything is clear now,Positive,4,False,
MSG_000061,CLI_0013,2025-12-19T16:34:15.579123,Advisor to Client,WhatsApp,Which document?,Confused,2,True,
MSG_000062,CLI_0008,2025-12-22T16:34:15.579162,Advisor to Client,WhatsApp,This is taking forever,Frustrated,4,False,26.0
MSG_000063,CLI_0007,2025-11-23T16:34:15.579204,Client to Advisor,Email,Can you clarify?,Confused,3,True,
MSG_000064,CLI_0002,2025-11-23T16:34:15.579243,Client to Advisor,Email,Understood,Neutral,1,False,28.0
MSG_000065,CLI_0030,2025-11-28T16:34:15.579285,Client to Advisor,SMS,"Ok, I'll send documents",Neutral,4,False,
MSG_000066,CLI_0028,2025-11-16T16:34:15.579324,Client to Advisor,Phone,I've sent this twice!,Frustrated,4,False,
MSG_000067,CLI_0003,2026-01-01T16:34:15.579363,Client to Advisor,Email,Just do this please,Frustrated,4,False,
MSG_000068,CLI_0029,2025-12-10T16:34:15.579402,Client to Advisor,SMS,Really appreciate the guidance,Positive,4,False,2.0
MSG_000069,CLI_0022,2026-01-26T16:34:15.579444,Advisor to Client,Email,You've been very helpful,Positive,4,False,37.0
MSG_000070,CLI_0025,2025-12-30T16:34:15.579486,Advisor to Client,Phone,Why so long?,Frustrated,3,True,21.0
MSG_000071,CLI_0046,2026-01-03T16:34:15.579528,Advisor to Client,Phone,Why so long?,Frustrated,3,True,25.0
MSG_000072,CLI_0019,2025-11-19T16:34:15.579569,Advisor to Client,SMS,How do I do this?,Confused,5,True,27.0
MSG_000073,CLI_0013,2025-11-16T16:34:15.579611,Client to Advisor,Email,Really appreciate the guidance,Positive,4,False,24.0
MSG_000074,CLI_0003,2025-12-15T16:34:15.579693,Client to Advisor,SMS,Thanks so much for your help!,Positive,6,False,
MSG_000075,CLI_0044,2025-12-23T16:34:15.579738,Client to Advisor,Email,Not sure what you need,Confused,5,False,20.0
MSG_000076,CLI_0011,2025-11-19T16:34:15.579786,Advisor to Client,WhatsApp,Understood,Neutral,1,False,36.0
MSG_000077,CLI_0024,2025-12-05T16:34:15.579829,Client to Advisor,Email,Getting frustrated with delays,Frustrated,4,False,
MSG_000078,CLI_0001,2025-11-05T16:34:15.579869,Client to Advisor,Email,"Great, ready to proceed",Positive,4,False,8.0
MSG_000079,CLI_0024,2025-11-23T16:34:15.579912,Advisor to Client,WhatsApp,"Perfect, that makes sense",Positive,4,False,46.0
MSG_000080,CLI_0036,2026-01-21T16:34:15.579954,Advisor to Client,SMS,"Great, ready to proceed",Positive,4,False,7.0
MSG_000081,CLI_0011,2026-01-19T16:34:15.579997,Advisor to Client,Email,I've sent this twice!,Frustrated,4,False,24.0
MSG_000082,CLI_0009,2026-01-22T16:34:15.580039,Advisor to Client,SMS,Which document?,Confused,2,True,3.0
MSG_000083,CLI_0043,2025-12-07T16:34:15.580082,Client to Advisor,WhatsApp,I'll do that,Neutral,3,False,28.0
MSG_000084,CLI_0010,2025-12-13T16:34:15.580124,Advisor to Client,WhatsApp,Thanks so much for your help!,Positive,6,False,
MSG_000085,CLI_0018,2025-11-09T16:34:15.580230,Advisor to Client,WhatsApp,Really appreciate the guidance,Positive,4,False,
MSG_000086,CLI_0038,2026-01-21T16:34:15.580271,Client to Advisor,SMS,"Perfect, that makes sense",Positive,4,False,19.0
MSG_000087,CLI_0002,2025-11-06T16:34:15.580314,Client to Advisor,Phone,"Perfect, that makes sense",Positive,4,False,
MSG_000088,CLI_0012,2026-01-31T16:34:15.580354,Advisor to Client,SMS,This is taking forever,Frustrated,4,False,14.0
MSG_000089,CLI_0036,2025-12-08T16:34:15.580395,Client to Advisor,Phone,You've been very helpful,Positive,4,False,24.0
MSG_000090,CLI_0026,2025-11-28T16:34:15.580438,Client to Advisor,WhatsApp,"Great, ready to proceed",Positive,4,False,43.0
MSG_000091,CLI_0029,2025-12-09T16:34:15.580480,Client to Advisor,SMS,Understood,Neutral,1,False,43.0
MSG_000092,CLI_0003,2026-01-18T16:34:15.580521,Advisor to Client,WhatsApp,Everything is clear now,Positive,4,False,
MSG_000093,CLI_0032,2026-01-31T16:34:15.580560,Advisor to Client,Email,Understood,Neutral,1,False,2.0
MSG_000094,CLI_0017,2026-01-23T16:34:15.580603,Advisor to Client,SMS,When do you need them?,Neutral,5,True,1.0
MSG_000095,CLI_0009,2025-12-23T16:34:15.580682,Client to Advisor,Phone,Everything is clear now,Positive,4,False,22.0
MSG_000096,CLI_0018,2025-12-24T16:34:15.580739,Client to Advisor,SMS,Getting frustrated with delays,Frustrated,4,False,
MSG_000097,CLI_0047,2026-01-16T16:34:15.580780,Client to Advisor,WhatsApp,"Perfect, that makes sense",Positive,4,False,
MSG_000098,CLI_0019,2025-11-12T16:34:15.580820,Advisor to Client,SMS,This is ridiculous,Frustrated,3,False,8.0
MSG_000099,CLI_0033,2025-12-03T16:34:15.580862,Advisor to Client,WhatsApp,Why so long?,Frustrated,3,True,24.0
MSG_000100,CLI_0004,2025-11-04T16:34:15.580904,Client to Advisor,SMS,No problem,Neutral,2,False,24.0
MSG_000101,CLI_0002,2025-11-10T16:34:15.580946,Client to Advisor,Phone,Really appreciate the guidance,Positive,4,False,39.0
MSG_000102,CLI_0010,2026-01-23T16:34:15.580990,Advisor to Client,WhatsApp,Which document?,Confused,2,True,5.0
MSG_000103,CLI_0041,2025-11-06T16:34:15.581033,Client to Advisor,Phone,Thanks so much for your help!,Positive,6,False,
MSG_000104,CLI_0025,2025-12-29T16:34:15.581072,Client to Advisor,Email,"Great, ready to proceed",Positive,4,False,
MSG_000105,CLI_0049,2025-11-23T16:34:15.581111,Client to Advisor,WhatsApp,When do you need them?,Neutral,5,True,29.0
MSG_000106,CLI_0014,2025-11-14T16:34:15.581154,Advisor to Client,SMS,No problem,Neutral,2,False,
MSG_000107,CLI_0021,2025-11-13T16:34:15.581193,Advisor to Client,Phone,Just do this please,Frustrated,4,False,40.0
MSG_000108,CLI_0038,2025-11-11T16:34:15.581234,Advisor to Client,SMS,This is ridiculous,Frustrated,3,False,
MSG_000109,CLI_0001,2026-01-17T16:34:15.581273,Advisor to Client,Phone,"Ok, I'll send documents",Neutral,4,False,10.0
MSG_000110,CLI_0023,2025-12-15T16:34:15.581316,Client to Advisor,SMS,Don't understand form,Confused,3,False,10.0
MSG_000111,CLI_0020,2026-01-27T16:34:15.581358,Advisor to Client,WhatsApp,Thanks so much for your help!,Positive,6,False,
MSG_000112,CLI_0031,2026-01-15T16:34:15.581397,Client to Advisor,SMS,Which document?,Confused,2,True,
MSG_000113,CLI_0011,2025-12-02T16:34:15.581436,Client to Advisor,Phone,I'll do that,Neutral,3,False,47.0
MSG_000114,CLI_0009,2025-11-16T16:34:15.581478,Client to Advisor,SMS,No problem,Neutral,2,False,30.0
MSG_000115,CLI_0031,2025-12-15T16:34:15.581523,Client to Advisor,SMS,You've been very helpful,Positive,4,False,
MSG_000116,CLI_0004,2026-01-07T16:34:15.581561,Client to Advisor,Email,Understood,Neutral,1,False,12.0
MSG_000117,CLI_0010,2026-01-10T16:34:15.581603,Advisor to Client,SMS,What does this mean?,Confused,4,True,2.0
MSG_000118,CLI_0032,2026-01-31T16:34:15.581679,Client to Advisor,Phone,You've been very helpful,Positive,4,False,13.0
MSG_000119,CLI_0015,2025-12-17T16:34:15.581759,Client to Advisor,SMS,Understood,Neutral,1,False,38.0
MSG_000120,CLI_0011,2026-01-12T16:34:15.581829,Client to Advisor,SMS,You've been very helpful,Positive,4,False,
MSG_000121,CLI_0010,2025-11-20T16:34:15.581894,Advisor to Client,WhatsApp,Just do this please,Frustrated,4,False,4.0
MSG_000122,CLI_0006,2026-01-15T16:34:15.581939,Client to Advisor,Email,Really appreciate the guidance,Positive,4,False,6.0
MSG_000123,CLI_0029,2026-01-07T16:34:15.581982,Advisor to Client,WhatsApp,I'll get back soon,Neutral,4,False,26.0
MSG_000124,CLI_0022,2025-12-21T16:34:15.582025,Client to Advisor,Phone,This is taking forever,Frustrated,4,False,13.0
MSG_000125,CLI_0025,2026-01-04T16:34:15.582067,Client to Advisor,WhatsApp,Thanks so much for your help!,Positive,6,False,31.0
MSG_000126,CLI_0021,2025-11-21T16:34:15.582109,Client to Advisor,Email,Really appreciate the guidance,Positive,4,False,38.0
MSG_000127,CLI_0032,2026-01-04T16:34:15.582151,Client to Advisor,Email,Understood,Neutral,1,False,
MSG_000128,CLI_0010,2026-01-22T16:34:15.582189,Client to Advisor,WhatsApp,Everything is clear now,Positive,4,False,12.0
MSG_000129,CLI_0045,2025-11-27T16:34:15.582231,Client to Advisor,Email,Getting frustrated with delays,Frustrated,4,False,29.0
MSG_000130,CLI_0018,2025-12-29T16:34:15.582274,Client to Advisor,SMS,Just do this please,Frustrated,4,False,
MSG_000131,CLI_0040,2026-01-02T16:34:15.582313,Client to Advisor,WhatsApp,Really appreciate the guidance,Positive,4,False,8.0
MSG_000132,CLI_0028,2025-11-26T16:34:15.582360,Advisor to Client,WhatsApp,I'll do that,Neutral,3,False,36.0
MSG_000133,CLI_0017,2025-12-01T16:34:15.582402,Advisor to Client,Email,I've sent this twice!,Frustrated,4,False,
MSG_000134,CLI_0032,2025-12-10T16:34:15.582440,Client to Advisor,SMS,Everything is clear now,Positive,4,False,
MSG_000135,CLI_0008,2025-12-23T16:34:15.582482,Advisor to Client,WhatsApp,When do you need them?,Neutral,5,True,27.0
MSG_000136,CLI_0021,2025-11-25T16:34:15.582524,Client to Advisor,Email,Why so long?,Frustrated,3,True,4.0
MSG_000137,CLI_0012,2025-11-16T16:34:15.582566,Client to Advisor,Phone,Really appreciate the guidance,Positive,4,False,
MSG_000138,CLI_0024,2025-11-16T16:34:15.582605,Advisor to Client,Phone,Which document?,Confused,2,True,10.0
MSG_000139,CLI_0022,2026-01-18T16:34:15.582687,Client to Advisor,Phone,Thanks so much for your help!,Positive,6,False,
MSG_000140,CLI_0032,2025-12-01T16:34:15.582735,Client to Advisor,SMS,"Great, ready to proceed",Positive,4,False,16.0
MSG_000141,CLI_0002,2026-01-24T16:34:15.582779,Advisor to Client,WhatsApp,Everything is clear now,Positive,4,False,20.0
MSG_000142,CLI_0016,2025-12-14T16:34:15.582826,Client to Advisor,SMS,I'll do that,Neutral,3,False,33.0
MSG_000143,CLI_0030,2026-01-09T16:34:15.582868,Advisor to Client,SMS,What does this mean?,Confused,4,True,15.0
MSG_000144,CLI_0007,2025-12-17T16:34:15.582910,Advisor to Client,SMS,Really appreciate the guidance,Positive,4,False,44.0
MSG_000145,CLI_0011,2025-11-04T16:34:15.582952,Advisor to Client,SMS,"Great, ready to proceed",Positive,4,False,
MSG_000146,CLI_0019,2025-12-30T16:34:15.582991,Advisor to Client,Email,You've been very helpful,Positive,4,False,34.0
MSG_000147,CLI_0023,2025-11-04T16:34:15.583032,Advisor to Client,Phone,This is ridiculous,Frustrated,3,False,45.0
MSG_000148,CLI_0015,2025-12-09T16:34:15.583074,Advisor to Client,Phone,Everything is clear now,Positive,4,False,41.0
MSG_000149,CLI_0018,2025-11-28T16:34:15.583116,Client to Advisor,Email,Not sure what you need,Confused,5,False,
MSG_000150,CLI_0049,2025-12-06T16:34:15.583155,Advisor to Client,Email,Everything is clear now,Positive,4,False,47.0
MSG_000151,CLI_0037,2026-01-12T16:34:15.583197,Client to Advisor,WhatsApp,"Great, ready to proceed",Positive,4,False,
MSG_000152,CLI_0041,2026-01-09T16:34:15.583236,Client to Advisor,WhatsApp,Really appreciate the guidance,Positive,4,False,9.0
MSG_000153,CLI_0013,2025-11-29T16:34:15.583277,Advisor to Client,Email,Everything is clear now,Positive,4,False,1.0
MSG_000154,CLI_0018,2026-01-19T16:34:15.583321,Advisor to Client,WhatsApp,Not sure what you need,Confused,5,False,43.0
MSG_000155,CLI_0044,2026-01-08T16:34:15.583363,Advisor to Client,WhatsApp,Not sure what you need,Confused,5,False,10.0
MSG_000156,CLI_0036,2025-11-18T16:34:15.583405,Advisor to Client,SMS,"Ok, I'll send documents",Neutral,4,False,
MSG_000157,CLI_0044,2026-01-07T16:34:15.583444,Advisor to Client,Email,You've been very helpful,Positive,4,False,9.0
MSG_000158,CLI_0050,2025-12-14T16:34:15.583486,Advisor to Client,Email,Not sure what you need,Confused,5,False,
MSG_000159,CLI_0008,2026-01-13T16:34:15.583524,Client to Advisor,Email,I've sent this twice!,Frustrated,4,False,16.0
MSG_000160,CLI_0033,2026-01-31T16:34:15.583569,Advisor to Client,SMS,I'll get back soon,Neutral,4,False,15.0
MSG_000161,CLI_0026,2026-01-08T16:34:15.583612,Client to Advisor,WhatsApp,"Great, ready to proceed",Positive,4,False,8.0
MSG_000162,CLI_0034,2025-11-06T16:34:15.583785,Client to Advisor,Phone,Really appreciate the guidance,Positive,4,False,4.0
MSG_000163,CLI_0014,2025-11-28T16:34:15.583842,Advisor to Client,Phone,Really appreciate the guidance,Positive,4,False,33.0
MSG_000164,CLI_0049,2025-11-14T16:34:15.583886,Client to Advisor,Phone,When do you need them?,Neutral,5,True,
MSG_000165,CLI_0019,2025-12-04T16:34:15.583927,Advisor to Client,WhatsApp,Everything is clear now,Positive,4,False,
MSG_000166,CLI_0027,2026-01-04T16:34:15.583966,Client to Advisor,Email,You've been very helpful,Positive,4,False,
MSG_000167,CLI_0010,2025-11-11T16:34:15.584005,Client to Advisor,SMS,I'll get back soon,Neutral,4,False,
MSG_000168,CLI_0006,2025-11-15T16:34:15.584044,Advisor to Client,WhatsApp,"Perfect, that makes sense",Positive,4,False,20.0
MSG_000169,CLI_0015,2026-01-22T16:34:15.584085,Advisor to Client,Phone,Really appreciate the guidance,Positive,4,False,28.0
MSG_000170,CLI_0030,2025-12-20T16:34:15.584159,Client to Advisor,Email,Everything is clear now,Positive,4,False,12.0
MSG_000171,CLI_0004,2026-01-09T16:34:15.584219,Client to Advisor,Email,Really appreciate the guidance,Positive,4,False,
MSG_000172,CLI_0044,2025-12-05T16:34:15.584260,Advisor to Client,SMS,Getting frustrated with delays,Frustrated,4,False,22.0
MSG_000173,CLI_0049,2025-11-11T16:34:15.584302,Client to Advisor,SMS,Understood,Neutral,1,False,6.0
MSG_000174,CLI_0030,2025-12-06T16:34:15.584345,Client to Advisor,Email,"Great, ready to proceed",Positive,4,False,9.0
MSG_000175,CLI_0013,2026-01-11T16:34:15.584388,Advisor to Client,WhatsApp,Getting frustrated with delays,Frustrated,4,False,
MSG_000176,CLI_0032,2025-11-08T16:34:15.584431,Client to Advisor,Phone,I'll get back soon,Neutral,4,False,33.0
MSG_000177,CLI_0028,2025-11-29T16:34:15.584473,Client to Advisor,SMS,How do I do this?,Confused,5,True,15.0
MSG_000178,CLI_0006,2025-11-09T16:34:15.584515,Advisor to Client,SMS,"Perfect, that makes sense",Positive,4,False,28.0
MSG_000179,CLI_0009,2025-12-07T16:34:15.584557,Client to Advisor,SMS,No problem,Neutral,2,False,24.0
MSG_000180,CLI_0013,2026-01-13T16:34:15.584599,Client to Advisor,WhatsApp,Getting frustrated with delays,Frustrated,4,False,24.0
MSG_000181,CLI_0026,2025-11-11T16:34:15.584676,Advisor to Client,Phone,How do I do this?,Confused,5,True,17.0
MSG_000182,CLI_0004,2025-11-25T16:34:15.584729,Advisor to Client,Email,No problem,Neutral,2,False,47.0
MSG_000183,CLI_0002,2025-11-23T16:34:15.584773,Advisor to Client,Phone,Thanks so much for your help!,Positive,6,False,25.0
MSG_000184,CLI_0018,2026-01-29T16:34:15.584815,Client to Advisor,Phone,No problem,Neutral,2,False,
MSG_000185,CLI_0015,2025-11-10T16:34:15.584854,Advisor to Client,WhatsApp,What does this mean?,Confused,4,True,
MSG_000186,CLI_0010,2025-12-22T16:34:15.584893,Client to Advisor,SMS,Thanks so much for your help!,Positive,6,False,31.0
MSG_000187,CLI_0007,2025-11-05T16:34:15.584939,Advisor to Client,Email,Why so long?,Frustrated,3,True,45.0
MSG_000188,CLI_0040,2026-01-05T16:34:15.584981,Client to Advisor,Email,I've sent this twice!,Frustrated,4,False,7.0
MSG_000189,CLI_0027,2026-01-19T16:34:15.585023,Client to Advisor,Phone,I'll get back soon,Neutral,4,False,22.0
MSG_000190,CLI_0028,2026-01-28T16:34:15.585065,Client to Advisor,SMS,Not sure what you need,Confused,5,False,43.0
MSG_000191,CLI_0016,2026-01-22T16:34:15.585107,Client to Advisor,WhatsApp,You've been very helpful,Positive,4,False,3.0
MSG_000192,CLI_0014,2026-01-08T16:34:15.585148,Advisor to Client,Phone,Understood,Neutral,1,False,
MSG_000193,CLI_0036,2025-12-26T16:34:15.585188,Advisor to Client,SMS,I'll do that,Neutral,3,False,15.0
MSG_000194,CLI_0026,2026-01-03T16:34:15.585230,Client to Advisor,Email,You've been very helpful,Positive,4,False,46.0
MSG_000195,CLI_0022,2025-12-01T16:34:15.585273,Client to Advisor,Phone,I'll do that,Neutral,3,False,26.0
MSG_000196,CLI_0048,2026-01-21T16:34:15.585318,Client to Advisor,SMS,Not sure what you need,Confused,5,False,6.0
MSG_000197,CLI_0013,2025-12-26T16:34:15.585362,Client to Advisor,WhatsApp,"Great, ready to proceed",Positive,4,False,14.0
MSG_000198,CLI_0047,2025-12-27T16:34:15.585404,Advisor to Client,SMS,This is taking forever,Frustrated,4,False,
MSG_000199,CLI_0042,2025-11-12T16:34:15.585443,Advisor to Client,Email,Understood,Neutral,1,False,
MSG_000200,CLI_0001,2025-12-25T16:34:15.585482,Client to Advisor,SMS,Not sure what you need,Confused,5,False,
MSG_000201,CLI_0028,2026-01-02T16:34:15.585520,Client to Advisor,Email,"Ok, I'll send documents",Neutral,4,False,47.0
MSG_000202,CLI_0001,2025-11-04T16:34:15.585563,Client to Advisor,Email,"Great, ready to proceed",Positive,4,False,42.0
MSG_000203,CLI_0042,2025-12-03T16:34:15.585605,Client to Advisor,Email,Getting frustrated with delays,Frustrated,4,False,9.0
MSG_000204,CLI_0017,2025-12-02T16:34:15.585686,Client to Advisor,Email,When do you need them?,Neutral,5,True,
MSG_000205,CLI_0020,2025-12-06T16:34:15.585766,Advisor to Client,Phone,Everything is clear now,Positive,4,False,37.0
MSG_000206,CLI_0046,2025-11-13T16:34:15.585822,Client to Advisor,WhatsApp,"Ok, I'll send documents",Neutral,4,False,
MSG_000207,CLI_0024,2025-11-13T16:34:15.585862,Advisor to Client,SMS,How do I do this?,Confused,5,True,24.0
MSG_000208,CLI_0009,2025-11-04T16:34:15.585907,Advisor to Client,Email,Thanks so much for your help!,Positive,6,False,
MSG_000209,CLI_0027,2025-12-05T16:34:15.585946,Client to Advisor,WhatsApp,This is ridiculous,Frustrated,3,False,
MSG_000210,CLI_0031,2025-12-10T16:34:15.585985,Client to Advisor,SMS,Thanks so much for your help!,Positive,6,False,16.0
MSG_000211,CLI_0007,2025-11-04T16:34:15.586026,Client to Advisor,WhatsApp,Don't understand form,Confused,3,False,36.0
MSG_000212,CLI_0017,2026-01-10T16:34:15.586068,Client to Advisor,WhatsApp,I'll get back soon,Neutral,4,False,27.0
MSG_000213,CLI_0037,2026-01-28T16:34:15.586109,Advisor to Client,Phone,I'll do that,Neutral,3,False,36.0
MSG_000214,CLI_0019,2026-01-06T16:34:15.586151,Advisor to Client,WhatsApp,Which document?,Confused,2,True,28.0
MSG_000215,CLI_0001,2025-12-26T16:34:15.586197,Advisor to Client,Email,I'll do that,Neutral,3,False,21.0
MSG_000216,CLI_0009,2025-11-13T16:34:15.586238,Advisor to Client,WhatsApp,No problem,Neutral,2,False,44.0
MSG_000217,CLI_0008,2025-11-16T16:34:15.586282,Client to Advisor,Email,Really appreciate the guidance,Positive,4,False,
MSG_000218,CLI_0003,2026-01-13T16:34:15.586321,Client to Advisor,Email,"Perfect, that makes sense",Positive,4,False,40.0
MSG_000219,CLI_0022,2025-12-13T16:34:15.586363,Advisor to Client,WhatsApp,What does this mean?,Confused,4,True,
MSG_000220,CLI_0014,2026-01-25T16:34:15.586401,Advisor to Client,WhatsApp,Not sure what you need,Confused,5,False,
MSG_000221,CLI_0046,2025-12-10T16:34:15.586440,Client to Advisor,Phone,When do you need them?,Neutral,5,True,
MSG_000222,CLI_0026,2025-11-20T16:34:15.586478,Advisor to Client,Email,"Ok, I'll send documents",Neutral,4,False,23.0
