loa_id,client_id,provider,case_type,date_prepared,date_client_signed,date_submitted_to_provider,current_state,days_in_current_state,provider_sla_days,sla_status,document_quality_score,signature_verified,missing_documents,reference_number
LOA_0046,CLI_0048,AXA,Investment Planning,2026-01-06T16:33:51.462089,2026-01-11T16:33:51.462089,2026-01-13T16:33:51.462089,Complete,0,15,Overdue,84.71,True,,REF_AXA_00046
LOA_0047,CLI_0028,Legal & General,General Review,2026-01-09T16:33:51.462175,2026-01-18T16:33:51.462175,2026-01-18T16:33:51.462175,Provider Submitted,14,14,On Track,67.25,True,,REF_LEG_00047
LOA_0048,CLI_0023,AXA,Pension Consolidation,2025-12-20T16:33:51.462262,2025-12-27T16:33:51.462262,2025-12-26T16:33:51.462262,Provider Processing,28,15,Overdue,44.15,True,Payslip,REF_AXA_00048
LOA_0049,CLI_0011,Standard Life,Investment Planning,2025-12-12T16:33:51.462361,,,Client Signature Pending,49,12,Overdue,8.41,True,,
LOA_0050,CLI_0042,AXA,Protection Review,2025-12-09T16:33:51.462445,2025-12-13T16:33:51.462445,,Client Signed,50,15,Overdue,58.13,True,,
LOA_0051,CLI_0022,Legal & General,General Review,2026-01-11T16:33:51.462530,2026-01-20T16:33:51.462530,2026-01-16T16:33:51.462530,Provider Submitted,16,14,Overdue,8.35,True,,REF_LEG_00051
LOA_0052,CLI_0039,Zurich,Investment Planning,2026-01-02T16:33:51.462617,2026-01-11T16:33:51.462617,2026-01-12T16:33:51.462617,Provider Processing,22,15,Overdue,57.15,True,Statements,REF_ZUR_00052
LOA_0053,CLI_0041,Prudential,Investment Planning,2026-01-27T16:33:51.462760,2026-02-03T16:33:51.462760,2026-02-04T16:33:51.462760,Information Received,0,12,On Track,22.36,True,,REF_PRU_00053
LOA_0054,CLI_0044,Aon,Retirement Planning,2026-01-12T16:33:51.462853,2026-01-19T16:33:51.462853,2026-01-19T16:33:51.462853,Provider Processing,3,20,On Track,96.93,True,,REF_AON_00054
LOA_0055,CLI_0049,Aviva,General Review,2025-12-06T16:33:51.462959,2025-12-14T16:33:51.462959,2025-12-13T16:33:51.462959,Provider Submitted,50,10,Overdue,95.04,True,,REF_AVI_00055
LOA_0056,CLI_0012,Friends Life,Protection Review,2025-12-31T16:33:51.463046,2026-01-04T16:33:51.463046,2026-01-08T16:33:51.463046,Provider Submitted,24,14,Overdue,58.37,False,,REF_FRI_00056
LOA_0057,CLI_0041,Legal & General,Investment Planning,2026-01-01T16:33:51.463134,2026-01-10T16:33:51.463134,2026-01-06T16:33:51.463134,Provider Processing,17,14,Overdue,27.1,False,Payslip,REF_LEG_00057
LOA_0058,CLI_0006,Standard Life,Investment Planning,2025-12-08T16:33:51.463232,2025-12-15T16:33:51.463232,2025-12-19T16:33:51.463232,Complete,26,12,Overdue,86.61,False,,REF_STA_00058
LOA_0059,CLI_0033,Transamerica,Protection Review,2026-01-27T16:33:51.463322,2026-02-05T16:33:51.463322,2026-02-01T16:33:51.463322,Provider Submitted,0,18,On Track,96.99,True,,REF_TRA_00059
LOA_0060,CLI_0013,Aviva,General Review,2025-12-25T16:33:51.463409,2025-12-30T16:33:51.463409,2026-01-05T16:33:51.463409,Provider Processing,32,10,Overdue,53.43,True,Payslip,REF_AVI_00060
LOA_0061,CLI_0023,Aon,Pension Consolidation,2025-12-06T16:33:51.463506,2025-12-10T16:33:51.463506,2025-12-12T16:33:51.463506,Provider Processing,49,20,Overdue,12.92,True,,REF_AON_00061
LOA_0062,CLI_0004,Aviva,Pension Consolidation,2025-12-10T16:33:51.463602,2025-12-14T16:33:51.463602,2025-12-18T16:33:51.463602,Provider Processing,40,10,Overdue,47.62,True,P60,REF_AVI_00062
LOA_0063,CLI_0012,Aviva,Protection Review,2025-12-05T16:33:51.463739,2025-12-12T16:33:51.463739,,Client Signed,51,10,Overdue,2.88,True,,
LOA_0064,CLI_0021,Standard Life,Investment Planning,2026-01-17T16:33:51.463829,2026-01-26T16:33:51.463829,2026-01-27T16:33:51.463829,Provider Processing,0,12,On Track,63.66,True,Payslip,REF_STA_00064
LOA_0065,CLI_0034,Legal & General,General Review,2025-12-21T16:33:51.463934,2025-12-30T16:33:51.463934,2025-12-29T16:33:51.463934,Complete,6,14,Overdue,14.71,True,,REF_LEG_00065
LOA_0066,CLI_0010,Aviva,Pension Consolidation,2026-01-08T16:33:51.464022,2026-01-15T16:33:51.464022,2026-01-14T16:33:51.464022,Provider Submitted,18,10,Overdue,63.34,True,,REF_AVI_00066
LOA_0067,CLI_0047,AXA,Protection Review,2026-01-05T16:33:51.464109,2026-01-14T16:33:51.464109,,Client Signed,18,15,Overdue,69.65,True,,
LOA_0068,CLI_0032,Fidelity,Investment Planning,2026-01-01T16:33:51.464263,2026-01-05T16:33:51.464263,2026-01-10T16:33:51.464263,Information Received,0,15,Overdue,34.51,True,,REF_FID_00068
LOA_0069,CLI_0022,Aon,General Review,2026-01-22T16:33:51.464354,,,Client Signature Pending,9,20,On Track,33.01,True,,
LOA_0070,CLI_0026,AXA,Retirement Planning,2025-12-12T16:33:51.464440,2025-12-20T16:33:51.464440,2025-12-23T16:33:51.464440,Provider Submitted,40,15,Overdue,80.62,True,,REF_AXA_00070
LOA_0071,CLI_0015,Friends Life,Investment Planning,2026-01-06T16:33:51.464527,2026-01-10T16:33:51.464527,2026-01-14T16:33:51.464527,Provider Processing,14,14,Overdue,6.23,False,Payslip,REF_FRI_00071
LOA_0072,CLI_0007,Fidelity,Pension Consolidation,2025-12-12T16:33:51.464626,2025-12-20T16:33:51.464626,2025-12-19T16:33:51.464626,Provider Processing,34,15,Overdue,53.26,True,,REF_FID_00072
LOA_0073,CLI_0037,Zurich,Investment Planning,2025-12-20T16:33:51.464771,2025-12-23T16:33:51.464771,2025-12-31T16:33:51.464771,Information Received,3,15,Overdue,59.36,True,,REF_ZUR_00073
LOA_0074,CLI_0003,AXA,Protection Review,2025-12-14T16:33:51.464861,2025-12-23T16:33:51.464861,2025-12-22T16:33:51.464861,Provider Processing,38,15,Overdue,56.45,True,,REF_AXA_00074
LOA_0075,CLI_0006,Legal & General,Investment Planning,2026-01-02T16:33:51.464967,2026-01-06T16:33:51.464967,2026-01-09T16:33:51.464967,Provider Processing,17,14,Overdue,23.72,False,P60,REF_LEG_00075
LOA_0076,CLI_0006,Prudential,Investment Planning,2025-12-11T16:33:51.465065,2025-12-19T16:33:51.465065,,Client Signed,44,12,Overdue,89.68,False,,
LOA_0077,CLI_0031,Friends Life,Investment Planning,2025-12-22T16:33:51.465151,2025-12-31T16:33:51.465151,2026-01-01T16:33:51.465151,Complete,0,14,Overdue,0.53,True,,REF_FRI_00077
LOA_0078,CLI_0030,Friends Life,Investment Planning,2025-12-21T16:33:51.465244,2025-12-29T16:33:51.465244,2025-12-26T16:33:51.465244,Provider Processing,35,14,Overdue,28.0,True,P60,REF_FRI_00078
LOA_0079,CLI_0026,Transamerica,Retirement Planning,2026-01-24T16:33:51.465343,,,Client Signature Pending,7,18,On Track,61.06,True,,
LOA_0080,CLI_0037,Legal & General,Investment Planning,2026-01-15T16:33:51.465427,2026-01-20T16:33:51.465427,2026-01-20T16:33:51.465427,Provider Processing,6,14,On Track,54.89,True,Statements,REF_LEG_00080
LOA_0081,CLI_0002,Legal & General,Pension Consolidation,2026-01-27T16:33:51.465523,2026-02-03T16:33:51.465523,2026-02-01T16:33:51.465523,Provider Processing,0,14,On Track,60.61,True,Payslip,REF_LEG_00081
LOA_0082,CLI_0049,Aon,General Review,2025-12-15T16:33:51.465619,2025-12-23T16:33:51.465619,,Client Signed,40,20,Overdue,37.92,True,,
LOA_0083,CLI_0022,Friends Life,General Review,2026-01-17T16:33:51.465747,2026-01-24T16:33:51.465747,,Client Signed,8,14,On Track,81.46,True,,
LOA_0084,CLI_0026,Legal & General,Retirement Planning,2026-01-03T16:33:51.465836,2026-01-07T16:33:51.465836,2026-01-08T16:33:51.465836,Provider Processing,22,14,Overdue,37.69,True,P60,REF_LEG_00084
LOA_0085,CLI_0033,Prudential,Protection Review,2026-01-13T16:33:51.465942,2026-01-16T16:33:51.465942,2026-01-18T16:33:51.465942,Provider Processing,13,12,Overdue,90.65,True,Payslip,REF_PRU_00085
LOA_0086,CLI_0006,Transamerica,Investment Planning,2026-01-25T16:33:51.466040,2026-01-30T16:33:51.466040,2026-01-31T16:33:51.466040,Provider Processing,0,18,On Track,74.15,True,,REF_TRA_00086
LOA_0087,CLI_0038,AXA,Protection Review,2025-12-26T16:33:51.466138,2026-01-02T16:33:51.466138,2026-01-02T16:33:51.466138,Provider Processing,25,15,Overdue,76.25,True,,REF_AXA_00087
LOA_0088,CLI_0038,Legal & General,Protection Review,2025-12-14T16:33:51.466235,2025-12-20T16:33:51.466235,2025-12-25T16:33:51.466235,Provider Processing,31,14,Overdue,40.9,True,Payslip,REF_LEG_00088
LOA_0089,CLI_0031,Fidelity,Investment Planning,2025-12-08T16:33:51.466331,2025-12-14T16:33:51.466331,2025-12-14T16:33:51.466331,Information Received,14,15,Overdue,95.91,True,,REF_FID_00089
LOA_0090,CLI_0006,Friends Life,Investment Planning,2026-01-05T16:33:51.466417,2026-01-09T16:33:51.466417,2026-01-15T16:33:51.466417,Provider Processing,11,14,Overdue,50.59,True,Payslip,REF_FRI_00090
LOA_0091,CLI_0040,Legal & General,Investment Planning,2025-12-11T16:33:51.466513,2025-12-18T16:33:51.466513,2025-12-20T16:33:51.466513,Provider Submitted,43,14,Overdue,6.89,False,,REF_LEG_00091
LOA_0092,CLI_0014,Friends Life,General Review,2025-12-18T16:33:51.466615,2025-12-23T16:33:51.466615,2025-12-29T16:33:51.466615,Complete,0,14,Overdue,83.89,False,,REF_FRI_00092
LOA_0093,CLI_0001,Transamerica,General Review,2025-12-04T16:33:51.466748,2025-12-13T16:33:51.466748,,Client Signed,50,18,Overdue,78.78,True,,
LOA_0094,CLI_0035,Legal & General,Investment Planning,2026-01-03T16:33:51.466838,2026-01-08T16:33:51.466838,2026-01-13T16:33:51.466838,Provider Processing,22,14,Overdue,91.85,True,Payslip,REF_LEG_00094
LOA_0095,CLI_0044,Fidelity,Retirement Planning,2025-12-05T16:33:51.466945,2025-12-08T16:33:51.466945,2025-12-16T16:33:51.466945,Provider Submitted,47,15,Overdue,78.05,True,,REF_FID_00095
LOA_0096,CLI_0026,Standard Life,Retirement Planning,2026-01-07T16:33:51.467034,2026-01-16T16:33:51.467034,2026-01-12T16:33:51.467034,Provider Processing,16,12,Overdue,8.53,True,,REF_STA_00096
LOA_0097,CLI_0007,Aviva,Pension Consolidation,2025-12-27T16:33:51.467131,2026-01-04T16:33:51.467131,2026-01-07T16:33:51.467131,Provider Submitted,25,10,Overdue,46.82,True,,REF_AVI_00097
LOA_0098,CLI_0029,Friends Life,Investment Planning,2026-01-09T16:33:51.467217,2026-01-12T16:33:51.467217,2026-01-19T16:33:51.467217,Provider Processing,15,14,On Track,48.11,True,Payslip,REF_FRI_00098
LOA_0099,CLI_0004,Aviva,Pension Consolidation,2026-01-20T16:33:51.467314,2026-01-29T16:33:51.467314,2026-01-31T16:33:51.467314,Information Received,0,10,On Track,52.66,True,,REF_AVI_00099
LOA_0100,CLI_0028,Standard Life,General Review,2026-01-21T16:33:51.467400,2026-01-24T16:33:51.467400,,Client Signed,8,12,On Track,50.55,True,,
